Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-glob-005.txt
Log File Name:                   SEP_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3666100468
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3200000	549.179988	1	-1.812947702364	1.093280969469	-0.025630450392	-0.010466735336	0.000191033216	0.000080664745	0.976164083628	N\A	0.060138414933	0.008688976339	0.032380990140	0.005961048584	38	3	0.003958580020	Global Trend	
3250000	548.996640	1	-1.775907049285	1.037713698776	-0.012332120554	-0.001543092293	-0.008160063203	0.000072642640	0.972411706309	N\A	0.059155564401	0.008181831342	0.033405605082	0.006012625515	35	2	-0.003417346423	Global Trend	
3300000	555.810667	1	-1.696924866545	1.028168853455	-0.014216783004	-0.005926428991	-0.004814441905	0.000104633025	0.997978603523	N\A	0.025561906836	0.003356812894	0.027170187959	0.004487813604	33	1	0.120020270174	Global Trend	
3350000	561.581079	1	-1.628805258276	0.960620157360	-0.017219040065	0.060810503108	-0.004839704050	0.000054425864	0.999799735514	N\A	0.022845391630	0.003261078961	0.024896411561	0.004419229582	28	2	-0.139529088703	Global Trend	
3400000	559.957201	1	-1.646020661849	0.954762086518	-0.017233429650	0.069486759274	-0.006458679226	0.000085146356	0.999777297409	N\A	0.024960264006	0.003345801471	0.027050543342	0.004517728016	26	2	0.319842536384	Global Trend	
3450000	552.396945	1	-1.626379338035	0.939998334472	-0.018094627011	0.087400907691	-0.009421556100	0.000089711959	0.999944213499	N\A	0.025228525292	0.003365295140	0.027281535690	0.004382924486	30	4	-0.571091248742	Global Trend	
3500000	544.069833	1	-1.646478637534	0.970879811266	-0.020358306772	0.064656897909	-0.001993300851	0.000107945369	0.988190661436	N\A	0.028080493809	0.003913199230	0.027081683687	0.004725892142	36	4	0.028561070598	Global Trend	
3550000	566.429188	1	-1.678109549001	1.010631227407	-0.019331912553	0.007688998244	0.000849267735	0.000071557228	0.999961155943	N\A	0.022328014743	0.003062779613	0.024297882808	0.004207302139	41	3	-0.543273852860	Global Trend	
3600000	556.131754	1	-1.644775800616	0.987544920404	-0.013767601329	0.032653251282	-0.006719678115	0.000067594877	0.999994216003	N\A	0.023631094887	0.003059608266	0.025418354879	0.004021772638	42	3	-1.041735644637	Global Trend	
3650000	553.451035	1	-1.719317593491	0.987304820697	-0.009948005756	0.020811653471	-0.005021884335	0.000075254237	0.989671888711	N\A	0.025330983546	0.003602399797	0.024775947022	0.004443728681	36	3	-0.020458641697	Global Trend	
3700000	550.428197	1	-1.621873203746	0.943022116445	-0.009304795638	0.080146306374	-0.011217737469	0.000094731875	0.999184751111	N\A	0.022677585915	0.003195785067	0.024347337498	0.004318381944	36	2	0.123332501346	Global Trend	
3750000	565.377401	1	-1.612915358108	0.949740071881	-0.015258468893	0.077790347752	-0.011006932005	0.000064799106	0.999369143347	N\A	0.023727307223	0.003315822558	0.025629250882	0.004294609326	24	3	0.121420448472	Global Trend	
3800000	553.040827	1	-1.649541618026	0.941884123855	-0.011274071520	0.079986129748	-0.012934077224	0.000085809336	0.979733912714	N\A	0.038645332972	0.005358089676	0.027416541670	0.004656693389	44	2	-0.006240786312	Global Trend	
3850000	568.830626	1	-1.835988233222	1.028349717189	-0.029105764195	0.038814572484	0.000487173896	0.000083392286	0.979461232711	N\A	0.043374965470	0.006081766237	0.028191880952	0.005056387963	29	5	-0.008217262786	Global Trend	
3900000	559.188969	1	-1.791501799924	1.031559457458	-0.016845151106	-0.013303092784	0.002585534555	0.000088064918	0.996690419119	N\A	0.025153815492	0.003146880086	0.026556909750	0.004299558302	32	3	-0.055251875343	Global Trend	
