Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m8-glob-002.txt
Log File Name:                   DIE_d1_m8-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2713345351
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m8-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3200000	716.611487	1	8.591702962194	0.938016933204	-0.003965961721	0.040671121278	0.000039142100	0.999916029802	N\A	0.007691325868	0.000771403591	0.007819851189	4	6	-2.357623670454	Global Trend	
3250000	718.192228	1	10.240367223592	0.915570071625	0.003587440156	0.029926691702	0.000038509936	0.999605654458	N\A	0.008862099819	0.000898211388	0.009111491900	4	6	-1.371353533044	Global Trend	
3300000	714.402286	1	7.697862944219	0.916733385491	0.000730884827	0.042200917974	0.000039838740	0.999784728740	N\A	0.006723306932	0.000640975225	0.006671194732	3	6	-1.336876017801	Global Trend	
3350000	720.394459	1	7.613101906425	0.915136174493	-0.002382532532	0.061526453340	0.000038570379	0.999920938170	N\A	0.006113566141	0.000573337192	0.005986916798	3	6	-2.076616570286	Global Trend	
3400000	727.514266	1	7.251773442983	0.923033165744	-0.004201572696	0.060383076199	0.000037033707	0.999952894801	N\A	0.005387141702	0.000491108059	0.005182135515	3	7	-2.461690138347	Global Trend	
3450000	719.275163	1	7.588227537726	0.913047453247	-0.004680180498	0.067846875094	0.000038857497	0.999934620299	N\A	0.005917076727	0.000549155435	0.005756690128	3	6	-2.233840759350	Global Trend	
3500000	724.257321	1	7.605935059571	0.912819432480	-0.003680864669	0.063954393133	0.000037661734	0.999915093766	N\A	0.006137314349	0.000577757093	0.006026181319	3	6	-1.979270681279	Global Trend	
3550000	716.633176	1	8.451745714546	0.905166845432	0.000297974367	0.056710994834	0.000039123455	0.999796268856	N\A	0.007826472480	0.000780275124	0.007960880209	2	6	-1.548441174080	Global Trend	
3600000	730.353484	1	7.493593718844	0.921376285251	0.001730771391	0.039964560662	0.000036329996	0.999832128748	N\A	0.006654204424	0.000641550607	0.006642281902	7	6	-1.429290976353	Global Trend	
3650000	724.098575	1	7.298627659874	0.954219156224	-0.002569309517	0.030263394758	0.000037652012	0.999960106296	N\A	0.006039249835	0.000567241334	0.005900765767	6	6	-2.862592209839	Global Trend	
3700000	723.350665	1	7.684325565246	0.937781007839	-0.000228565676	0.031003636921	0.000037743164	0.999872722828	N\A	0.006793761580	0.000657651013	0.006786964789	4	6	-1.718841126451	Global Trend	
3750000	723.634300	1	7.632447915182	0.929837754785	-0.002397791710	0.047562123874	0.000037725044	0.999921423807	N\A	0.006800126090	0.000661403339	0.006797597100	4	6	-2.145824309104	Global Trend	
3800000	725.865461	1	7.168007096591	0.904616843309	-0.000681812839	0.055900314051	0.000037629295	0.999814840326	N\A	0.004037664126	0.000366474347	0.003803262914	7	6	-1.256033594504	Global Trend	
3850000	724.606343	1	7.179566325777	0.914638803465	-0.000963472430	0.053425297013	0.000037831100	0.999873900988	N\A	0.004357511275	0.000385010939	0.004124555824	3	7	-1.540246904234	Global Trend	
3900000	725.458168	1	7.246815019285	0.923500973983	-0.001524795822	0.046706681759	0.000037693439	0.999889119346	N\A	0.004491881880	0.000398065055	0.004261965540	3	6	-1.633095813259	Global Trend	
3950000	723.419517	1	6.799742590865	0.931815279901	-0.003026949685	0.050479614157	0.000038034957	0.999950152720	N\A	0.004822791379	0.000430697201	0.004585412754	6	6	-2.337260255262	Global Trend	
4000000	726.078763	1	7.430020238378	0.926834493530	-0.002378155472	0.050261804030	0.000037313088	0.999927778747	N\A	0.005767529988	0.000534092271	0.005607629361	4	7	-2.070511401146	Global Trend	
4050000	722.384355	1	7.289175338461	0.909141877025	0.000637553077	0.053899566016	0.000038350677	0.999826964359	N\A	0.005969816790	0.000554990809	0.005833838119	6	6	-1.414959873882	Global Trend	
4100000	726.006051	1	7.194000466096	0.916653156109	-0.000328620846	0.052536642930	0.000037568396	0.999887835489	N\A	0.004878929975	0.000436252874	0.004657192256	3	6	-1.632700285200	Global Trend	
4150000	724.430818	1	6.967995310146	0.917753519341	0.000035960477	0.042234832611	0.000037980792	0.999801377729	N\A	0.004724549905	0.000419970034	0.004492912789	5	6	-1.233977541523	Global Trend	
4200000	723.324196	1	7.297178468821	0.928963106264	-0.000251831867	0.043013353576	0.000037982099	0.999901014636	N\A	0.005939477867	0.000553595709	0.005800802395	4	7	-1.823813662183	Global Trend	
4250000	723.892654	1	7.279458218646	0.928591395400	-0.003299717024	0.055277988808	0.000038000697	0.999957118586	N\A	0.005148014544	0.000464460086	0.004921483385	4	6	-2.647789500314	Global Trend	
