Species_TTOL	MOB	rest_of_brain	BOD	BOD2
Nycteris_javanica	0.529	2.65047090615567	1.265	1.600225
Nycteris_macrotis	0.618	2.56570573628551	1.161	1.347921
Nycteris_thebaica	0.462	2.4880134922472	0.949	0.900601
Nyctophilus_geoffroyi	0.652	2.1954325071819	0.857	0.734449
Otomops_martiensseni	1.155	2.85387267955123	1.618	2.617924
Peropteryx_macrotis	0.225	2.18774408447669	0.748	0.559504
Phylloderma_stenops	1.942	3.10305487853701	1.664	2.768896
Phyllostomus_discolor	1.6	3.01289560068157	1.563	2.442969
Phyllostomus_elongatus	1.31	2.91962973558399	1.652	2.729104
Phyllostomus_hastatus	1.631	3.15775224544109	1.963	3.853369
Pipistrellus_javanicus	0.497	2.04743835568333	0.653	0.426409
Pipistrellus_tenuis	0.391	1.94445839594312	0.591	0.349281
Afronycteris_nana	0.299	1.97624949883145	0.591	0.349281
Hypsugo_pulveratus	0.575	2.12583275320563	0.724	0.524176
Perimyotis_subflavus	0.548	2.0689992385851	0.724	0.524176
Pteronotus_gymnonotus	0.862	2.50919392843789	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.072	2.71076396835588	1.305	1.703025
Pteronotus_personatus	0.686	2.33437416842607	0.908	0.824464
Rhinolophus_cornutus	0.553	2.26307067478927	0.82	0.6724
Rhinolophus_eloquens	0.972	2.58228368121921	1.281	1.640961
Rhinolophus_hipposideros	0.294	2.14741999328989	0.663	0.439569
Rhinolophus_landeri	0.747	2.41927248180996	0.987	0.974169
Rhinolophus_lepidus	0.622	2.24246038366786	0.778	0.605284
Rhinolophus_luctus	0.838	2.76563752486781	1.516	2.298256
Rhinolophus_macrotis	0.594	2.29216841823355	0.799	0.638401
Rhinolophus_malayanus	0.598	2.28065583157794	0.806	0.649636
Rhinolophus_megaphyllus	0.66	2.39284327871508	0.991	0.982081
Rhinolophus_pearsonii	0.641	2.49680535567541	1.143	1.306449
Rhinolophus_pusillus	0.533	2.19036275728536	0.672	0.451584
Rhinolophus_trifoliatus	0.513	2.51948592306197	1.164	1.354896
Rhinolophus_yunnanensis	0.946	2.61598611233896	1.371	1.879641
