Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m3-glob-004.txt
Log File Name:                   AMY_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2048693461
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
4950000	400.733994	1	0.474220214522	0.731743659823	-0.043254438352	0.000367364465	0.929569130000	N\A	0.018901573331	0.004214989462	28	13	-0.002118762668	Global Trend	
5000000	398.179448	1	0.467670425620	0.704878465729	-0.032930212064	0.000290602876	0.922531126112	N\A	0.021988867416	0.004988921696	49	11	-0.002453796025	Global Trend	
5050000	409.329642	1	0.461616482384	0.740821676552	-0.043958935997	0.000147195524	0.937091760509	N\A	0.020834243211	0.004467519788	35	10	-0.001840422352	Global Trend	
5100000	411.498978	1	0.345561018188	0.720436113795	-0.040507588284	0.000276398712	0.932100118198	N\A	0.019131007153	0.004623504910	36	9	0.000380495693	Global Trend	
5150000	386.910588	1	0.328461759016	0.716822798748	-0.038205721971	0.000197859802	0.916936701567	N\A	0.022584364655	0.004767335491	38	9	0.000564966979	Global Trend	
5200000	417.458123	1	0.297969637902	0.761304558576	-0.048594207424	0.000202615839	0.931609473820	N\A	0.019647130566	0.004304296673	31	13	0.000197190261	Global Trend	
5250000	398.972034	1	0.260753561922	0.762301352606	-0.042339960094	0.000277917005	0.939244033526	N\A	0.017758110554	0.004096661463	43	6	0.000354996968	Global Trend	
5300000	408.053383	1	0.267991565112	0.729326235494	-0.039528181961	0.000386178119	0.932961264259	N\A	0.021392753562	0.005215256247	29	11	-0.002466331302	Global Trend	
5350000	388.671348	1	0.315835152800	0.774023603143	-0.048916866918	0.000153489536	0.918863975821	N\A	0.022708136144	0.005172463068	41	5	-0.000347724798	Global Trend	
5400000	382.553035	1	0.347047598885	0.789577805388	-0.052938674597	0.000210367098	0.918378998893	N\A	0.023715394954	0.005066880040	41	6	-0.001433040423	Global Trend	
5450000	387.486136	1	0.294383143044	0.725805299760	-0.039078881434	0.000308778936	0.919554796283	N\A	0.022318959940	0.005014568679	38	5	0.000915568530	Global Trend	
5500000	404.238118	1	0.304101779700	0.748600200276	-0.047411245984	0.000255188047	0.931437685906	N\A	0.019268268179	0.004495671939	40	8	0.000712097805	Global Trend	
5550000	415.398717	1	0.357634291935	0.723438924248	-0.036693143720	0.000225203416	0.928572181262	N\A	0.021294727778	0.004494900788	35	10	-0.000173685096	Global Trend	
5600000	420.764449	1	0.331877005799	0.754099055191	-0.047220430257	0.000159035335	0.929870466963	N\A	0.020635714422	0.004416390025	38	15	-0.000870113823	Global Trend	
5650000	407.119806	1	-0.001188505289	0.756524951574	-0.043919824080	0.000259715926	0.927106647562	N\A	0.023068448192	0.005246572056	40	16	-0.000714982492	Global Trend	
5700000	403.824080	1	0.362343420853	0.738498072788	-0.044213112693	0.000264288138	0.932834726729	N\A	0.019858115819	0.004746562139	33	9	-0.000386324526	Global Trend	
