Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-glob-003.txt
Log File Name:                   AMY_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            769433658
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
4500000	500.531050	1	-1.873802936737	1.315814082331	-0.075401743155	-0.013554047634	0.009406201094	0.000116945274	0.972655516563	N\A	0.085483633545	0.012193389950	0.040620002570	0.007392941890	39	2	-0.002377240444	Global Trend	
4550000	511.750602	1	-1.547046036423	1.156188922288	-0.051618323588	0.016613727558	0.002969262685	0.000107300672	0.959736370823	N\A	0.088992702260	0.012219216127	0.039500939508	0.006839088805	39	3	0.000576595865	Global Trend	
4600000	506.305056	1	-1.596020644088	1.184968497963	-0.062953042960	0.052051681045	0.000816772773	0.000157493743	0.964271516938	N\A	0.080773561671	0.012397735781	0.034106649793	0.006569676331	33	2	-0.000664423641	Global Trend	
4650000	511.744433	1	-1.550820704839	1.192080981423	-0.063318168026	-0.021612484313	0.009820110374	0.000096269355	0.962199763685	N\A	0.095599997181	0.012528946483	0.043065041455	0.007027661889	30	4	-0.001600295621	Global Trend	
4700000	504.185696	1	-1.614859314450	1.240001328789	-0.070567212260	-0.032704875115	0.018587380044	0.000115322018	0.959619052953	N\A	0.096562810275	0.013934801577	0.041562700118	0.007471886051	31	4	-0.000589590131	Global Trend	
4750000	502.296964	1	-1.623824845291	1.134429596950	-0.047716985626	0.035405572859	-0.005834030883	0.000097938427	0.962490029420	N\A	0.064793712839	0.009074382068	0.033315757970	0.005746375315	38	3	-0.003678942668	Global Trend	
4800000	517.541138	1	-1.642000740044	1.254177437067	-0.075861117801	-0.013104262955	0.018277958573	0.000099322807	0.967118710392	N\A	0.083385166748	0.011401232057	0.035689867530	0.006627591206	31	5	-0.000279289119	Global Trend	
4850000	496.499348	1	-1.721417305959	1.245010742964	-0.061184387691	0.013755242105	-0.000013224239	0.000094913943	0.967236615196	N\A	0.073788950597	0.010909463744	0.033288098136	0.006340859564	35	5	-0.000845419601	Global Trend	
4900000	520.626523	1	-2.069378396725	1.459218188293	-0.092992357879	-0.048327469813	0.011562302148	0.000120069962	0.969412779167	N\A	0.081318649503	0.012404731464	0.034504965345	0.006890113320	35	5	-0.001531134390	Global Trend	
4950000	503.608643	1	-1.805333329241	1.364122704371	-0.090757386730	-0.016735488967	0.015463362658	0.000098453343	0.962461579963	N\A	0.091473052816	0.012847771862	0.040913119063	0.007447696582	37	2	0.000023708415	Global Trend	
5000000	508.352981	1	-1.292014403519	0.947661808287	-0.027522691835	0.112389855296	-0.016926283667	0.000110184452	0.977702116789	N\A	0.038318936921	0.005381611510	0.035332920905	0.006042602766	27	4	-0.018521400397	Global Trend	
5050000	513.866362	1	-1.618607502245	1.212055664613	-0.054563024664	-0.007252262325	0.001133346742	0.000086858567	0.964539452465	N\A	0.072878308338	0.008912055820	0.036999654362	0.005851739418	37	5	0.001318229510	Global Trend	
5100000	521.706917	1	-1.816508627325	1.306715717108	-0.072970565683	-0.026654903507	0.007073740650	0.000105204610	0.964983879160	N\A	0.081326488031	0.011002602596	0.038104750645	0.006516527167	32	6	-0.002231173745	Global Trend	
5150000	507.023527	1	-1.660050986923	1.204852262693	-0.061961574405	-0.011394808306	0.009333858895	0.000116134947	0.968114621024	N\A	0.066761372550	0.009515052712	0.031578283351	0.005790119935	30	2	-0.003807736095	Global Trend	
5200000	501.035491	1	-1.877580058126	1.386639191682	-0.088722367827	-0.029354848301	0.015204630047	0.000109305622	0.961560988989	N\A	0.088448919018	0.012083064196	0.039836223103	0.006747409773	40	2	-0.000038001608	Global Trend	
