Species_TTOL	MES	rest_of_brain	rest_of_brain2	BOD
Thylogale_stigmatica	3.028571	3.0789623596587	9.48000921219507	3.653213
Trichosurus_vulpecula	2.769599	3.0789623596587	9.48000921219507	3.30103
Vombatus_ursinus	3.280123	3.0789623596587	9.48000921219507	4.357935
Wallabia_bicolor	3.234264	3.0789623596587	9.48000921219507	4.198657
Balionycteris_maculata	1.477	3.0789623596587	9.48000921219507	1.158
Casinycteris_argynnis	1.732	3.0789623596587	9.48000921219507	1.428
Chironax_melanocephalus	1.491	3.0789623596587	9.48000921219507	1.248
Cynopterus_brachyotis	1.708	3.0789623596587	9.48000921219507	1.53
Cynopterus_horsfieldii	1.875	3.0789623596587	9.48000921219507	1.773
Cynopterus_sphinx	1.82	3.0789623596587	9.48000921219507	1.713
Dobsonia_inermis	2.041	3.0789623596587	9.48000921219507	2.173
Dobsonia_moluccensis	2.262	3.0789623596587	9.48000921219507	2.543
Dobsonia_praedatrix	2.104	3.0789623596587	9.48000921219507	2.25
Eidolon_helvum	2.303	3.0789623596587	9.48000921219507	2.418
Eonycteris_spelaea	1.854	3.0789623596587	9.48000921219507	1.769
Epomophorus_labiatus	1.968	3.0789623596587	9.48000921219507	1.806
Epomops_franqueti	2.143	3.0789623596587	9.48000921219507	2.072
Hypsignathus_monstrosus	2.334	3.0789623596587	9.48000921219507	2.491
Macroglossus_minimus	1.528	3.0789623596587	9.48000921219507	1.164
Megaerops_ecaudatus	1.644	3.0789623596587	9.48000921219507	1.38
Megaloglossus_woermanni	1.583	3.0789623596587	9.48000921219507	1.253
Melonycteris_melanops	1.782	3.0789623596587	9.48000921219507	1.675
Melonycteris_woodfordi	1.684	3.0789623596587	9.48000921219507	1.549
Epomophorus_pusillus	1.685	3.0789623596587	9.48000921219507	1.4
Myonycteris_torquata	1.824	3.0789623596587	9.48000921219507	1.561
Notopteris_macdonaldi	1.821	3.0789623596587	9.48000921219507	1.841
Nyctimene_albiventer	1.675	3.0789623596587	9.48000921219507	1.473
Nyctimene_robinsoni	1.859	3.0789623596587	9.48000921219507	1.673
Nyctimene_vizcaccia	1.748	3.0789623596587	9.48000921219507	1.549
Paranyctimene_raptor	1.626	3.0789623596587	9.48000921219507	1.417
Pteropus_alecto	2.5	3.0789623596587	9.48000921219507	2.775
Pteropus_conspicillatus	2.525	3.0789623596587	9.48000921219507	2.875
Pteropus_hypomelanus	2.379	3.0789623596587	9.48000921219507	2.591
Pteropus_lylei	2.381	3.0789623596587	9.48000921219507	2.497
Pteropus_neohibernicus	2.558	3.0789623596587	9.48000921219507	2.924
