Species_TTOL	AMY	rest_of_brain	rest_of_brain2	BOD
Rhinolophus_cornutus	0.848	3.0789623596587	9.48000921219507	0.82
Rhinolophus_eloquens	1.199	3.0789623596587	9.48000921219507	1.281
Rhinolophus_hipposideros	0.695	3.0789623596587	9.48000921219507	0.663
Rhinolophus_landeri	1.029	3.0789623596587	9.48000921219507	0.987
Rhinolophus_lepidus	0.92	3.0789623596587	9.48000921219507	0.778
Rhinolophus_luctus	1.41	3.0789623596587	9.48000921219507	1.516
Rhinolophus_macrotis	0.818	3.0789623596587	9.48000921219507	0.799
Rhinolophus_malayanus	0.991	3.0789623596587	9.48000921219507	0.806
Rhinolophus_megaphyllus	1.049	3.0789623596587	9.48000921219507	0.991
Rhinolophus_pearsonii	1.143	3.0789623596587	9.48000921219507	1.143
Rhinolophus_pusillus	0.856	3.0789623596587	9.48000921219507	0.672
Rhinolophus_trifoliatus	1.201	3.0789623596587	9.48000921219507	1.164
Rhinolophus_yunnanensis	1.283	3.0789623596587	9.48000921219507	1.371
Rhinonicteris_aurantia	0.941	3.0789623596587	9.48000921219507	0.934
Rhinophylla_pumilio	1.121	3.0789623596587	9.48000921219507	0.949
Rhinopoma_hardwickii	1.14	3.0789623596587	9.48000921219507	1.111
Rhinopoma_microphyllum	1.188	3.0789623596587	9.48000921219507	1.468
Rhogeessa_parvula	0.762	3.0789623596587	9.48000921219507	0.653
Rhynchonycteris_naso	0.832	3.0789623596587	9.48000921219507	0.58
Saccopteryx_bilineata	1.196	3.0789623596587	9.48000921219507	0.924
Saccopteryx_canescens	0.923	3.0789623596587	9.48000921219507	0.531
Saccopteryx_leptura	0.984	3.0789623596587	9.48000921219507	0.708
Scotomanes_ornatus	1.258	3.0789623596587	9.48000921219507	1.338
Scotophilus_dinganii	1.307	3.0789623596587	9.48000921219507	1.386
Scotophilus_kuhlii	1.217	3.0789623596587	9.48000921219507	1.31
Sphaeronycteris_toxophyllum	1.079	3.0789623596587	9.48000921219507	1.265
Sturnira_lilium	1.255	3.0789623596587	9.48000921219507	1.305
Sturnira_ludovici	1.35	3.0789623596587	9.48000921219507	1.413
Sturnira_tildae	1.332	3.0789623596587	9.48000921219507	1.387
Tadarida_aegyptiaca	1.265	3.0789623596587	9.48000921219507	1.248
Taphozous_australis	1.42	3.0789623596587	9.48000921219507	1.38
Taphozous_hildegardeae	1.441	3.0789623596587	9.48000921219507	1.438
Taphozous_mauritianus	1.439	3.0789623596587	9.48000921219507	1.462
Taphozous_melanopogon	1.393	3.0789623596587	9.48000921219507	1.356
Tonatia_bidens	1.461	3.0789623596587	9.48000921219507	1.468
Lophostoma_schulzi	1.1	3.0789623596587	9.48000921219507	1.328
Trachops_cirrhosus	1.439	3.0789623596587	9.48000921219507	1.567
Triaenops_persicus	0.983	3.0789623596587	9.48000921219507	1.137
Tylonycteris_pachypus	0.622	3.0789623596587	9.48000921219507	0.681
Tylonycteris_robustula	0.743	3.0789623596587	9.48000921219507	0.857
Uroderma_bilobatum	1.246	3.0789623596587	9.48000921219507	1.21
Vampyressa_pusilla	1.029	3.0789623596587	9.48000921219507	0.934
Vampyrum_spectrum	1.705	3.0789623596587	9.48000921219507	2.238
Alouatta_seniculus	2.629	3.0789623596587	9.48000921219507	3.806
Aotus_trivirgatus	2.287	3.0789623596587	9.48000921219507	2.919
Ateles_geoffroyi	2.939	3.0789623596587	9.48000921219507	3.903
Avahi_laniger	2.069	3.0789623596587	9.48000921219507	3.109
Plecturocebus_moloch	2.405	3.0789623596587	9.48000921219507	2.954
Callimico_goeldii	2.167	3.0789623596587	9.48000921219507	2.681
Callithrix_jacchus	2.026	3.0789623596587	9.48000921219507	2.447
Cebuella_pygmaea	1.877	3.0789623596587	9.48000921219507	2.146
Cebus_albifrons	2.661	3.0789623596587	9.48000921219507	3.491
Cercopithecus_ascanius	2.758	3.0789623596587	9.48000921219507	3.531
Cercopithecus_mitis_mitis	2.848	3.0789623596587	9.48000921219507	3.799
Cheirogaleus_major	2.01	3.0789623596587	9.48000921219507	2.653
Cheirogaleus_medius	1.812	3.0789623596587	9.48000921219507	2.248
Daubentonia_madagascariensis	2.683	3.0789623596587	9.48000921219507	3.447
Erythrocebus_patas	2.838	3.0789623596587	9.48000921219507	3.892
Eulemur_fulvus_fulvus	2.416	3.0789623596587	9.48000921219507	3.146
Galago_senegalensis	1.865	3.0789623596587	9.48000921219507	2.27
Galagoides_demidoff	1.763	3.0789623596587	9.48000921219507	1.908
Gorilla_gorilla	3.44	3.0789623596587	9.48000921219507	5.021
Homo_sapiens	3.479	3.0789623596587	9.48000921219507	4.813
Hylobates_lar	2.824	3.0789623596587	9.48000921219507	3.756
Indri_indri	2.6	3.0789623596587	9.48000921219507	3.796
Lagothrix_lagotricha	2.877	3.0789623596587	9.48000921219507	3.716
Lepilemur_mustelinus	2.127	3.0789623596587	9.48000921219507	2.961
Lophocebus_albigena	2.893	3.0789623596587	9.48000921219507	3.898
Loris_tardigradus_tardigradus	2.017	3.0789623596587	9.48000921219507	2.508
Macaca_mulatta	2.831	3.0789623596587	9.48000921219507	3.892
Microcebus_murinus	1.563	3.0789623596587	9.48000921219507	1.732
Miopithecus_talapoin	2.616	3.0789623596587	9.48000921219507	3.079
Nasalis_larvatus	2.857	3.0789623596587	9.48000921219507	4.146
Nycticebus_coucang	2.277	3.0789623596587	9.48000921219507	2.903
Otolemur_crassicaudatus	2.173	3.0789623596587	9.48000921219507	2.929
Pan_troglodytes	3.153	3.0789623596587	9.48000921219507	4.663
Papio_cynocephalus	2.979	3.0789623596587	9.48000921219507	4.398
Perodicticus_potto	2.306	3.0789623596587	9.48000921219507	3.061
Pithecia_monachus	2.563	3.0789623596587	9.48000921219507	3.176
Piliocolobus_badius	2.7	3.0789623596587	9.48000921219507	3.845
Propithecus_verreauxi	2.48	3.0789623596587	9.48000921219507	3.542
Pygathrix_nemaeus	2.689	3.0789623596587	9.48000921219507	3.875
Saguinus_midas	2.161	3.0789623596587	9.48000921219507	2.531
Saguinus_oedipus	2.152	3.0789623596587	9.48000921219507	2.58
Saimiri_sciureus_sciureus	2.385	3.0789623596587	9.48000921219507	2.82
Tarsius_tarsier	1.728	3.0789623596587	9.48000921219507	2.097
Varecia_variegata	2.566	3.0789623596587	9.48000921219507	3.477
