Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-VR-003.txt
Log File Name:                   STR_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            560977032
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3400000	530.779548	1	-1.494715186055	1.119285849157	-0.122467016240	0.011192406940	0.000157149522	0.982017699915	N\A	0.027363350183	0.024965870175	0.003248287874	40	27	
3450000	529.979430	1	-1.521941123175	1.089743896982	-0.017702918578	-0.009769325978	0.000076838469	0.974082270054	N\A	0.031802344028	0.028208809328	0.003697669317	59	24	
3500000	529.844924	1	-1.534174160400	1.099146442202	-0.035732529637	-0.005194854877	0.000147644045	0.981030476989	N\A	0.027628269341	0.024812761229	0.003018803703	39	20	
3550000	533.135420	1	-1.583216424172	1.153228741961	-0.097949360213	-0.002691448416	0.000158385991	0.982773056241	N\A	0.025861657700	0.023582922588	0.003234335579	41	24	
3600000	526.200552	1	-1.476667885218	1.051634910396	-0.015835467364	-0.002216201350	0.000184957621	0.988417684969	N\A	0.027313334313	0.023418472822	0.003346079605	48	30	
3650000	536.949854	1	-1.594797020775	1.167379167527	-0.116519489366	-0.000601631711	0.000178033695	0.982379331070	N\A	0.026502927670	0.024605691665	0.003286137175	44	27	
3700000	541.162049	1	-1.586712118039	1.147052921689	-0.096931889298	-0.000011896642	0.000096249250	0.984945200071	N\A	0.020191156263	0.017734914709	0.002728137709	41	26	
3750000	521.930005	1	-1.492111028561	1.120126456853	-0.136822110288	0.014415332642	0.000074445409	0.975148011860	N\A	0.030509471954	0.027585051000	0.003716066066	31	24	
3800000	521.281459	1	-1.508166121937	1.093224660483	-0.034181433668	-0.007273896293	0.000140238059	0.981235560048	N\A	0.027309270559	0.025119537241	0.003201946040	42	25	
3850000	538.543097	1	-1.405568375810	1.062277845323	-0.059589004776	0.002991254049	0.000203432491	0.979393770734	N\A	0.026435547658	0.023992120248	0.003240661343	37	20	
3900000	528.435497	1	-1.628738432392	1.195039047136	-0.154069629414	0.003593003056	0.000176529960	0.981529709931	N\A	0.026787871441	0.019892757670	0.002859030625	49	29	
3950000	548.158691	1	-1.582082701987	1.149759910802	-0.112040698526	0.003551661016	0.000129308377	0.982507456744	N\A	0.026581310375	0.022500261388	0.002914857552	46	28	
4000000	529.253888	1	-1.511090907422	1.107494742734	-0.041615139354	-0.007169794985	0.000123409598	0.978111708639	N\A	0.028561989796	0.025237994790	0.002948539486	52	23	
4050000	545.877791	1	-1.543323059484	1.114151833487	-0.052042858831	-0.006076365728	0.000197920248	0.985579621194	N\A	0.024906795731	0.023090250651	0.002785644811	36	24	
4100000	545.650562	1	-1.493899393351	1.097347491501	-0.061482500901	-0.000015918185	0.000178820604	0.983070293782	N\A	0.026031801980	0.023271976157	0.002998974499	46	17	
4150000	524.557379	1	-1.556774520656	1.134312337472	-0.120505528775	0.007777587819	0.000182447494	0.984820847268	N\A	0.025451230487	0.022833519547	0.003064772754	41	23	
4200000	539.504896	1	-1.503637100500	1.113003150991	-0.084276817981	0.003312580868	0.000186318571	0.978389406401	N\A	0.029082724728	0.027372404595	0.003675981875	40	24	
4250000	546.907051	1	-1.591525345671	1.161264681179	-0.120831331191	0.001017840251	0.000139707877	0.982743054555	N\A	0.026970500160	0.024184345515	0.003065387378	51	32	
4300000	533.153615	1	-1.520257168106	1.126703227022	-0.108782994617	0.005401432263	0.000081642068	0.976530614134	N\A	0.029119023716	0.026754955803	0.003566906327	40	21	
4350000	543.706252	1	-1.482523846049	1.098386364987	-0.062611424941	-0.000526324805	0.000150765735	0.982171657189	N\A	0.028721444509	0.022567276808	0.002660881864	33	30	
4400000	513.048437	1	-1.612690394119	1.162057065061	-0.123436590749	0.005395115394	0.000151076359	0.971026272886	N\A	0.032105358774	0.028653052621	0.003549386352	36	20	
4450000	547.220766	1	-1.638891084973	1.172326333919	-0.129524980927	0.004835212059	0.000159725633	0.976275252468	N\A	0.030519245204	0.026821651681	0.003335134954	39	15	
4500000	548.425920	1	-1.429860346945	1.087115015963	-0.076718527775	0.002155585387	0.000092427220	0.983269437281	N\A	0.025086439942	0.023129133544	0.003020665245	43	26	
4550000	527.013559	1	-1.532394418664	1.122224013145	-0.083829852020	-0.001620858203	0.000159868905	0.987023578374	N\A	0.026153689809	0.023561799240	0.002887108498	47	26	
4600000	536.419493	1	-1.544144660258	1.128309848116	-0.094479663591	0.002472155151	0.000144968562	0.982736311181	N\A	0.026665999244	0.023306023514	0.003022893282	36	28	
4650000	517.341892	1	-1.539330740436	1.126501783260	-0.091518868558	-0.001778353065	0.000129684643	0.988477554071	N\A	0.020206293992	0.018736619412	0.002680608542	38	39	
4700000	531.742827	1	-1.500655550039	1.096850535430	-0.071308473520	0.004521152218	0.000117236591	0.979731184299	N\A	0.026612924198	0.024049753927	0.003394845255	37	23	
4750000	524.804771	1	-1.451039799503	1.105342687822	-0.090335897986	0.002683491112	0.000101289676	0.980113937328	N\A	0.026286627136	0.024582804180	0.003123705391	53	23	
4800000	540.589183	1	-1.514446244719	1.119058481469	-0.098249972991	0.001861804624	0.000117795609	0.981425205196	N\A	0.027056901032	0.024583687574	0.003243143006	42	18	
4850000	528.030040	1	-1.549290705210	1.135324204001	-0.102307293112	0.001019617197	0.000139449124	0.985637962057	N\A	0.024632568907	0.022727948166	0.002632102440	35	25	
4900000	543.183074	1	-1.488311130665	1.122624550036	-0.102530074545	0.001936723385	0.000085342931	0.983451442824	N\A	0.026389189927	0.024515868203	0.003128370567	45	20	
4950000	540.576394	1	-1.530513754932	1.142080266079	-0.132091866096	0.008611309553	0.000130156379	0.978234198437	N\A	0.029763685827	0.026175116257	0.003181697411	42	17	
5000000	543.946937	1	-1.530320149714	1.126507648565	-0.083801546769	-0.001169866764	0.000145609428	0.982950234359	N\A	0.024294894647	0.022819283307	0.002856847571	51	33	
5050000	525.657124	1	-1.423053960119	1.046734051298	-0.012648535657	-0.003422676559	0.000171858522	0.980069055911	N\A	0.026583812880	0.024911367139	0.003161012067	48	30	
5100000	543.071259	1	-1.453594315766	1.077659000613	-0.054434752613	0.000630389544	0.000093108750	0.986556484654	N\A	0.023871533886	0.021558556238	0.002746236786	41	24	
