Species_TTOL	MED	rest_of_brain
Papio_cynocephalus	3.724	5.28121407692444
Perodicticus_potto	2.833	4.12079897970986
Pithecia_monachus	3.004	4.51688705271499
Piliocolobus_badius	3.303	4.86832778778568
Propithecus_verreauxi	3.087	4.40135338583513
Pygathrix_nemaeus	3.344	4.86047259819674
Saguinus_midas	2.631	3.98108200720884
Saguinus_oedipus	2.616	3.97903342592802
Saimiri_sciureus_sciureus	2.859	4.35321967494396
Tarsius_tarsier	2.316	3.53020840861181
Varecia_variegata	3.152	4.47260429620756
