Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-VR-002.txt
Log File Name:                   CEREB_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            570868080
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
3150000	561.057775	1	-1.222021231641	1.269586044003	-0.046025888990	-0.041982799771	0.020517366152	0.000081898161	0.980838317933	N\A	0.083307516649	0.011032242883	0.038064092303	0.006746785112	60	22	
3200000	559.817021	1	-1.132726887778	1.158278004214	-0.020030279480	-0.039675757258	0.013399557718	0.000078260504	0.985396394975	N\A	0.068328742722	0.008480916337	0.033578508687	0.005646085370	50	29	
3250000	560.565892	1	-1.267997956513	1.278311156361	-0.038375061117	-0.076991647349	0.019244157576	0.000076459832	0.981209220155	N\A	0.070476734614	0.009376916867	0.033465526833	0.005825021227	45	22	
3300000	576.046403	1	-1.284803148734	1.269072861268	-0.034838198016	-0.077367617910	0.017746666055	0.000072445796	0.986160300785	N\A	0.064284624891	0.008249263627	0.032664238212	0.005414677478	40	18	
3350000	555.052412	1	-1.400336739294	1.369177926733	-0.053212804874	-0.089959716662	0.025488408790	0.000086789513	0.985305986362	N\A	0.085106073041	0.010919735467	0.037717490097	0.006464781546	42	29	
3400000	565.685408	1	-1.090128605118	1.148476657835	-0.016480589505	-0.049875804184	0.009947327056	0.000085407159	0.980156547292	N\A	0.082159710139	0.011239648009	0.036521746580	0.006663413501	41	28	
3450000	561.655316	1	-1.010011035392	1.132395463375	-0.026302505386	-0.050157182703	0.021182366335	0.000122886689	0.980916091177	N\A	0.067366277524	0.007978742778	0.033618536347	0.005316475254	46	17	
3500000	567.135835	1	-1.306229597782	1.308829455047	-0.042092368102	-0.094751403623	0.021732088802	0.000083663463	0.983967064102	N\A	0.071386426632	0.008666491645	0.035851243589	0.005764057235	55	18	
3550000	569.902606	1	-1.157528080963	1.225800498747	-0.030735867961	-0.075771639224	0.017734076549	0.000069804153	0.985479419222	N\A	0.074587675364	0.009813972955	0.034910730950	0.006220800130	43	33	
3600000	569.869399	1	-1.109466808356	1.158098610340	-0.019874231726	-0.043795415337	0.011414591586	0.000083507672	0.984069464951	N\A	0.078731582067	0.009400022430	0.037544922851	0.005979954301	34	26	
3650000	568.643993	1	-1.378918182514	1.357453043177	-0.053544768430	-0.063888876419	0.019028098454	0.000078807336	0.986598543513	N\A	0.071214288948	0.009689219754	0.034186209945	0.006207399111	46	29	
3700000	564.371766	1	-1.009040679321	1.111585076454	-0.018436235177	-0.016527185604	0.008232501419	0.000094008226	0.984058152434	N\A	0.077917251594	0.009181492900	0.037486303540	0.005693948309	40	24	
3750000	555.193380	1	-1.072105688937	1.153949350306	-0.027016913892	-0.033887108108	0.016634803219	0.000086704367	0.984700882852	N\A	0.070421111872	0.008552342498	0.034153716238	0.005431717745	41	33	
3800000	574.816179	1	-1.183870333594	1.240564418176	-0.034475672040	-0.070776829875	0.016536684394	0.000059524817	0.982171533829	N\A	0.072163651806	0.009145747007	0.035121796938	0.005875205357	48	21	
3850000	552.625802	1	-1.169242570011	1.179988932886	-0.027031249134	-0.009127712510	0.009567101036	0.000064760140	0.985870894722	N\A	0.064434288717	0.008727248140	0.031124671362	0.005521038708	42	29	
3900000	566.720329	1	-1.083128206898	1.146044736031	-0.023196558192	-0.017936161671	0.010225266151	0.000080189970	0.984108948554	N\A	0.072604340585	0.009115820921	0.035312158337	0.005857611403	43	27	
3950000	566.342677	1	-1.066783144811	1.124967887468	-0.020825154641	0.004228384914	0.006931832956	0.000080871556	0.983295103323	N\A	0.068529376857	0.009139514723	0.032899215333	0.005905565176	39	18	
4000000	571.554637	1	-1.132263981496	1.191961051131	-0.028053476736	-0.045565122259	0.013765676128	0.000112317157	0.986734355566	N\A	0.073260344838	0.008774278315	0.034944138799	0.005711801519	43	20	
4050000	572.095073	1	-1.207194456101	1.220626463685	-0.026073183936	-0.063645479863	0.012367037182	0.000088013387	0.983280150413	N\A	0.068331852266	0.010372303276	0.031689847903	0.006268946974	41	20	
4100000	567.138297	1	-1.280784985775	1.283086922309	-0.036321444272	-0.086426757920	0.017500496397	0.000075693486	0.985596361037	N\A	0.066540923104	0.008149463660	0.033246493132	0.005497297470	36	29	
4150000	557.689790	1	-1.431004715274	1.389770295807	-0.054031752757	-0.108541746732	0.025609283923	0.000084750542	0.983155114008	N\A	0.062625059842	0.008293762332	0.028233406421	0.005251835123	44	18	
4200000	569.578718	1	-1.136274834622	1.148920612279	-0.017064102115	-0.029338292394	0.006410309358	0.000067472042	0.985174760095	N\A	0.069876370738	0.009595871197	0.032362763032	0.005614289826	38	30	
4250000	578.929048	1	-1.133062558854	1.180086024871	-0.025509341165	-0.039382850960	0.012270775823	0.000081647034	0.984500175960	N\A	0.067275247571	0.008354716318	0.033513263937	0.005597238544	41	21	
4300000	569.812739	1	-0.970074628232	1.061372644167	-0.014590589898	0.015051826241	0.008220690669	0.000089270977	0.981914677533	N\A	0.069775828156	0.008741522999	0.033249343256	0.005398410394	49	26	
4350000	562.098607	1	-1.011775456243	1.147262614455	-0.030349778118	-0.030092299192	0.016925722178	0.000178757770	0.983736297095	N\A	0.080029103472	0.011515794610	0.033213289948	0.006446140429	44	26	
4400000	564.844276	1	-1.398085295600	1.363163788049	-0.045111074558	-0.127063154217	0.025583707801	0.000079830344	0.983547317971	N\A	0.072776462546	0.008749668312	0.036124280273	0.005735889867	44	30	
4450000	562.626648	1	-1.223770346504	1.253257687711	-0.035493592951	-0.068992346537	0.018307428018	0.000065466055	0.981344480235	N\A	0.073607323813	0.010355969394	0.033327562631	0.006040931322	43	23	
4500000	554.272512	1	-1.198416661693	1.217345721458	-0.031214328807	-0.046948905212	0.016418711092	0.000080120050	0.984093478100	N\A	0.075716620820	0.009966357271	0.036043360970	0.006370701293	51	26	
4550000	556.098373	1	-1.155276615491	1.183956437108	-0.020938870400	-0.060176486200	0.013386797070	0.000072476374	0.983428795377	N\A	0.073369150551	0.009142667407	0.035010420782	0.005866517806	50	25	
4600000	560.751991	1	-1.283720109597	1.264147778836	-0.037004039994	-0.056108096827	0.015841283460	0.000069839256	0.981458100359	N\A	0.069502842594	0.008640572195	0.033844067418	0.005471853124	56	18	
4650000	570.376184	1	-1.189032719206	1.197994560994	-0.024571786384	-0.041888359115	0.009378517845	0.000055232995	0.983365894989	N\A	0.074973931112	0.010390418626	0.034649196872	0.006327731720	50	21	
4700000	564.437412	1	-1.131675696393	1.171793167900	-0.025239430612	-0.004586057115	0.003166832202	0.000083146725	0.982463636084	N\A	0.077036001063	0.009859177383	0.035548777984	0.006071889204	46	18	
4750000	573.632781	1	-1.278326842755	1.284527860603	-0.043118733769	-0.060267113408	0.018674486887	0.000071608514	0.986550422847	N\A	0.090240261671	0.012258856262	0.038446624046	0.007236083343	40	20	
4800000	583.083082	1	-1.077056772329	1.151101273764	-0.024995122237	-0.034330579269	0.015117895430	0.000070383447	0.982791460527	N\A	0.063991862153	0.008612616675	0.031146863822	0.005599346255	48	26	
