Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-fab-004.txt
Log File Name:                   MED_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3380970565
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2750000	497.527545	1	0.508315401059	0.763688050432	0.215080564228	0.207906000861	0.463702389375	-0.042238461939	0.826094429445	-0.144901571742	-0.109643970004	-0.202045437151	-0.078267972702	-0.214059018881	0.000198901114	0.968138796837	N\A	0.043179620997	0.156287716395	0.152299490667	0.175412074886	0.171003588958	0.232080952391	0.044487528777	0.044273053446	0.048494989076	0.053101305726	0.047010539497	37	8	
2800000	506.444529	1	0.693257772729	0.709915666457	0.137520582921	0.159669824131	0.531295612476	0.158895892489	0.395766772945	-0.106337128459	-0.064675231623	-0.159164392960	-0.105858088608	-0.160657395725	0.000106430309	0.965644834692	N\A	0.077238031359	0.251071422715	0.247260178039	0.258170235895	0.254663673792	0.279080803044	0.078340921321	0.077820283892	0.080227814135	0.081685899759	0.078966143075	46	5	
2850000	495.880714	1	0.154878231447	0.670903375571	0.532472016888	0.565303416941	0.727528313033	0.522800892831	0.917787946226	-0.052507676471	-0.034056962753	-0.064525806760	-0.055242918850	-0.155243179317	0.000256834150	0.963167493258	N\A	0.056302864804	0.179362774049	0.172942806568	0.206365234831	0.182897196129	0.266905752998	0.057761075872	0.057113866831	0.062059306725	0.062651690472	0.059560664896	39	6	
2900000	512.798758	1	0.985512183597	0.696419959811	-0.008466038427	-0.014380663034	0.197333579127	0.043417894748	0.041765673836	-0.092536962543	-0.059568612756	-0.129974695541	-0.087440873358	-0.189923384143	0.000156947512	0.966553686724	N\A	0.051708257284	0.175166044600	0.171224860856	0.183867384576	0.176973288134	0.231447235407	0.052962436999	0.052593348020	0.056813477325	0.057096842965	0.054340688735	49	7	
2950000	497.801585	1	0.757751369657	0.639209715020	0.106858084538	0.072299366394	0.434397079173	0.304937717899	0.424452077812	-0.035065542362	-0.007263910422	-0.115821731324	-0.067817632581	-0.111469634131	0.000146427688	0.966472695270	N\A	0.051707088132	0.152966780586	0.147354150107	0.160900987118	0.179048634557	0.213563136038	0.052920030445	0.052612597297	0.056995472528	0.064172354422	0.054571188034	32	5	
3000000	522.768208	1	0.436001971209	0.571984349731	0.624182333353	0.548270675895	0.714482962357	0.609793310608	0.525380820627	0.035246441389	0.094219246001	-0.002109819447	-0.018344484920	-0.027928862618	0.000205253934	0.968254528242	N\A	0.049297215867	0.161767747891	0.154958343473	0.178264940283	0.158997136186	0.236716680603	0.050432622774	0.050405008728	0.054777286981	0.052990959333	0.051804657910	36	10	
3050000	513.813658	1	0.970808222784	0.574845567314	-0.035142984061	0.022595957231	0.323248729488	0.091161265808	0.138101145166	0.050881721878	0.054045096713	-0.037847531278	0.018052463500	-0.093135927087	0.000029768105	0.957237066122	N\A	0.043402857894	0.150710952228	0.144194292808	0.171014165837	0.165489344490	0.157317113254	0.046223598783	0.044846199525	0.049619494901	0.053525704999	0.045434562084	36	8	
3100000	495.653683	1	0.204899628694	0.744184686488	0.664925753258	0.660304030322	0.900966356069	0.699326075369	0.945881970368	-0.122456570307	-0.074884822238	-0.150143641162	-0.130490252831	-0.242868811234	0.000078137420	0.966822063120	N\A	0.088626389217	0.287089868603	0.283304469441	0.290483150356	0.287349423095	0.333573236026	0.089211005156	0.089294208276	0.091459694876	0.092797116995	0.090161741746	49	6	
3150000	500.147130	1	0.907669813929	0.699301715114	0.183668846194	0.122790969379	0.313070968778	0.058726056123	0.204062933793	-0.090565221161	-0.050842330994	-0.162725188743	-0.120292056572	-0.193483475216	0.000125824509	0.961357528004	N\A	0.072534690133	0.184742207750	0.180301041483	0.205478729203	0.197786094934	0.224821636652	0.073802098897	0.073224681028	0.076636641761	0.077121882928	0.074271534027	32	5	
3200000	503.017023	1	0.281633747055	0.668957308427	0.191980415478	0.260243289228	0.092950341111	0.274737714944	0.827229111218	-0.062955425604	-0.032256861470	-0.161620637988	-0.071864245074	-0.158005509011	0.000018726093	0.966961095367	N\A	0.071033136806	0.239311788933	0.235717932800	0.271015491646	0.251757023169	0.257286618475	0.071962398895	0.071702955201	0.075746693338	0.078026766617	0.072262357773	43	11	
3250000	505.589839	1	1.079069595348	0.566838188862	-0.238646779597	-0.268201237668	-0.189166243734	-0.210509742864	0.124112480353	0.048716385516	0.081767967238	0.027865875289	0.002958876118	-0.041164696772	0.000052471330	0.968811911565	N\A	0.071370981106	0.237369887208	0.232925223107	0.245430148678	0.241318042763	0.246976381906	0.072075821083	0.072150501002	0.074599804523	0.075507622117	0.073026891962	39	9	
