Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-bm-006.txt
Log File Name:                   PAL_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2058746380
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2550000	209.033401	1	1.217106888605	0.568932767256	-0.188075208543	-0.627596782289	-0.585837428936	0.060161102101	-0.476705795793	0.035148242675	0.059697134927	-0.080220565890	-0.008391490714	-0.026757109976	0.000743919743	0.800086825770	N\A	0.083507072850	0.356381355332	0.322355760018	0.337892717165	0.327480893095	0.444028475315	0.092917433378	0.089671442810	0.093217557079	0.096872344004	0.088541394883	
2600000	211.130564	1	1.062118045071	0.592532904949	-0.333418272399	-0.634037579191	-0.141030047093	0.110277836583	-0.292453914061	0.060246242107	0.086508841414	-0.099200575271	-0.086215189435	-0.050431676388	0.000734904342	0.802509529790	N\A	0.082999528485	0.354215319062	0.320396526581	0.335839052265	0.325490509812	0.441329732050	0.092352694152	0.089126432263	0.092650993743	0.096283567382	0.088003252610	
2650000	212.436244	1	0.790862749014	0.579919542231	0.001961675476	-0.417611661202	0.023798733245	-0.036319612056	0.245711646852	0.007142828415	-0.006861263521	-0.058746442368	0.036835771719	-0.059049601245	0.000729346685	0.804003035979	N\A	0.082685094174	0.352873414453	0.319182740635	0.334566764060	0.324257425888	0.439657804356	0.092002826432	0.088788786871	0.092299995949	0.095918807994	0.087669862257	
2700000	212.777075	1	0.740118908658	0.559886847332	0.338924040498	-0.261398151881	0.408958123451	0.169160697597	0.281494492828	0.000278044035	0.081813074752	-0.108208499125	0.014012660427	-0.071908031805	0.000727902864	0.804391033500	N\A	0.082603211516	0.352523965580	0.318866655478	0.334235444177	0.323936315294	0.439222413313	0.091911716469	0.088700859755	0.092208591700	0.095823820053	0.087583043207	
2750000	208.047104	1	0.659779664189	0.714142403813	0.167500688480	-0.224690920650	0.555297264653	-0.090079260654	0.120313992083	-0.080335570266	-0.091130655443	-0.178631406275	-0.085630044159	-0.165049094365	0.000748197845	0.798937173526	N\A	0.083746843103	0.357404617735	0.323281326198	0.338862893940	0.328421174848	0.445303395111	0.093184223194	0.089928912554	0.093485208627	0.097150489384	0.088795619969	
2800000	211.351730	1	0.954767452365	0.556719018667	-0.286251513447	-0.853703237616	-0.029110482494	0.074097564985	-0.110015742583	0.014042277408	0.179398008175	-0.028862676492	0.031762913406	-0.013640208306	0.000733959974	0.802763309430	N\A	0.082946183223	0.353987658626	0.320190602079	0.335623202580	0.325281311317	0.441046081644	0.092293337446	0.089069149132	0.092591445314	0.096221684234	0.087946691367	
2850000	208.384156	1	1.134103914778	0.476656759724	0.167553372179	-0.596904298339	-0.700303702614	-0.090664904489	-0.153534845591	0.048113301439	0.145785164798	0.073733740655	0.155125362176	0.019290595088	0.000746733105	0.799330792279	N\A	0.083664827751	0.357054602562	0.322964728808	0.338531037135	0.328099543877	0.444867298494	0.093092965582	0.089840842948	0.093393656253	0.097055347510	0.088708660224	
2900000	212.417568	1	0.662785662103	0.563988385576	0.158457965240	-0.308578245731	-0.187089967436	0.044973320758	0.542523255227	0.055411098811	0.092848668998	-0.049757435627	0.113036696426	-0.053951067299	0.000729425882	0.803981753465	N\A	0.082689583271	0.352892572478	0.319200069544	0.334584928190	0.324275030308	0.439681674036	0.092007821403	0.088793607347	0.092305007054	0.095924015570	0.087674621985	
2950000	213.173727	1	0.937258488748	0.597675768812	-0.228740599599	-0.788052898074	-0.067502103466	-0.013416916797	0.030824336752	-0.072943363126	0.070980159581	-0.094974121889	0.020637761607	-0.083628335333	0.000726226167	0.804841611303	N\A	0.082508019992	0.352117718739	0.318499195151	0.333850272936	0.323563012717	0.438716255618	0.091805797870	0.088598641332	0.092102330983	0.095713393165	0.087482112950	
3000000	213.291454	1	0.886767217353	0.620971977103	0.013552428927	-0.658323493080	-0.151920660003	-0.342902594758	0.168141571979	-0.009745938031	0.073807405209	-0.086442462330	0.016827798465	-0.103734054410	0.000725729265	0.804975143649	N\A	0.082479788116	0.351997234165	0.318390213870	0.333736038957	0.323452298743	0.438566139510	0.091774384562	0.088568325420	0.092070816210	0.095680642790	0.087452179082	
3050000	210.502776	1	0.915018640089	0.537865633688	-0.190311927394	-0.782512819106	-0.338188567348	-0.174560492301	0.192806624845	0.045320195860	0.051684405515	0.059502251365	0.107353095719	-0.035089081801	0.000737591594	0.801787386014	N\A	0.083151138081	0.354862340105	0.320981773134	0.336452506630	0.326085061198	0.442135879069	0.092521388540	0.089289233458	0.092820233015	0.096459442029	0.088164002169	
3100000	210.059781	1	0.986644429729	0.409344693247	-0.243723029922	-0.717114428145	-0.206881564163	-0.137994597026	0.198169562079	0.197135132753	0.257081887911	0.061076198194	0.250493450749	0.071375959091	0.000739493748	0.801276220940	N\A	0.083258287139	0.355319617858	0.321395392184	0.336886061360	0.326505256376	0.442705618031	0.092640612160	0.089404292103	0.092939841727	0.096583740248	0.088277610834	
