Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-VR-001.txt
Log File Name:                   PAL_d1_m8-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2595392715
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3400000	407.970941	1	-1.454769829158	1.368451714006	-0.061776766846	-0.052362476023	0.000145668008	0.951549375420	N\A	0.064734833438	0.009518232542	0.027684467896	39	26	
3450000	413.773044	1	-1.271384440548	1.250275737532	-0.050985619408	0.004463163200	0.000093678605	0.956115436988	N\A	0.054218094019	0.008659346750	0.026675741941	42	26	
3500000	404.528464	1	-1.624387283793	1.363131951000	-0.054391089618	-0.059328201936	0.000261430331	0.946255357102	N\A	0.060956025481	0.008797582984	0.030742922029	41	23	
3550000	394.403700	1	-1.603892132832	1.268111554678	-0.044945612672	-0.032284039513	0.000305596006	0.944189294318	N\A	0.065595405962	0.008101828853	0.028894263655	50	22	
3600000	391.176339	1	-1.355460435630	1.287045640387	-0.035586197355	-0.096488535806	0.000152922742	0.943802004580	N\A	0.063505425401	0.009012890452	0.026811468937	44	29	
3650000	402.794054	1	-1.312353542754	1.258688651755	-0.049416081846	-0.011121384115	0.000203692211	0.938372461982	N\A	0.066330893861	0.008893225823	0.031867253715	42	22	
3700000	405.182314	1	-1.305547770088	1.242725161850	-0.046763088246	-0.015447851925	0.000226594928	0.949227960424	N\A	0.059184609945	0.007031049146	0.024404007820	41	33	
3750000	420.228041	1	-1.402744609437	1.300771826918	-0.055466454939	-0.010128919153	0.000155392600	0.954778960518	N\A	0.055898042591	0.007861021754	0.026731550729	41	39	
3800000	381.130266	1	-1.421999515892	1.226602980523	-0.064649273322	0.068772351927	0.000273992192	0.940534088119	N\A	0.070859173177	0.009003084759	0.033689879939	55	27	
3850000	402.291454	1	-1.553344394600	1.344887956726	-0.070644188882	0.003812408826	0.000281127958	0.951026658061	N\A	0.064527452408	0.008277264729	0.026561965522	44	40	
3900000	389.328057	1	-1.509158523661	1.252976857338	-0.046303747825	-0.024994700368	0.000206755342	0.940338210131	N\A	0.069202241800	0.009444762922	0.031128287496	47	33	
3950000	407.356717	1	-1.543696973434	1.361503303172	-0.056883764635	-0.052538235800	0.000775965122	0.949540944400	N\A	0.059610341422	0.008078219371	0.027387153746	53	26	
4000000	403.541256	1	-1.652216633240	1.440250251184	-0.061385134985	-0.080395651670	0.000365139102	0.948918474063	N\A	0.063622845105	0.009399687429	0.028975217245	49	33	
4050000	381.534116	1	-1.482859767538	1.270820152275	-0.048586902131	-0.031015734528	0.000227454233	0.951423162361	N\A	0.066253458172	0.008690807758	0.029074876042	51	28	
4100000	401.840036	1	-1.304180307542	1.125733161598	-0.036976663109	0.014635750966	0.000582553586	0.950978585518	N\A	0.062070227105	0.008550474675	0.019137313955	53	32	
4150000	393.565960	1	-1.503466661209	1.283378493140	-0.052326965839	-0.027610752148	0.000141946639	0.946372514679	N\A	0.059861309929	0.008721540750	0.027355014256	38	38	
4200000	398.681137	1	-1.646117641874	1.292778966661	-0.064171396521	0.018690863533	0.000343809701	0.944762748715	N\A	0.068086079780	0.009501043886	0.030970199781	39	23	
4250000	392.135856	1	-1.443131207220	1.296637153934	-0.058679192680	-0.007358624370	0.000300256103	0.937513039994	N\A	0.066101661027	0.008854185956	0.032130648513	44	22	
4300000	382.427278	1	-1.481501007619	1.243797317397	-0.039798947842	-0.070000479827	0.000422201214	0.931177553032	N\A	0.074331466652	0.009864153481	0.034904760229	39	17	
4350000	401.894787	1	-1.316429372557	1.283016448252	-0.055487404518	-0.024061219314	0.000234669258	0.942321438586	N\A	0.065108349057	0.007715965486	0.030545136353	56	27	
4400000	397.270768	1	-1.337182132436	1.099155710521	-0.040785578417	0.068039652892	0.000340631456	0.940954061721	N\A	0.071724953598	0.010662441189	0.033109514208	50	21	
4450000	388.946223	1	-1.482554522940	1.211788837092	-0.060027787218	0.075600169910	0.000324242908	0.949854714027	N\A	0.060759525888	0.009159338708	0.023747849703	44	34	
4500000	396.925704	1	-1.325916066169	1.218410981687	-0.049904174825	0.031116450906	0.000223385395	0.934536406524	N\A	0.068943628835	0.008913291607	0.031550252495	45	29	
4550000	413.839710	1	-1.509997145165	1.259173518442	-0.066105828983	0.037450976832	0.000252545943	0.946317562320	N\A	0.063443513686	0.008334881042	0.032078762753	34	28	
4600000	411.831188	1	-1.667394276012	1.323757543618	-0.052103142564	-0.050696220495	0.000225242221	0.950692021443	N\A	0.057979893343	0.008150205152	0.029168753714	41	25	
4650000	394.236895	1	-1.631715119905	1.306668511847	-0.054468102659	-0.040954179042	0.000263037703	0.941896507437	N\A	0.062853143700	0.008490417756	0.032082795091	47	33	
4700000	392.352661	1	-1.499399688536	1.302649869533	-0.064591908109	0.006370589773	0.000229731364	0.958055266475	N\A	0.049164704718	0.007901293551	0.026032340115	62	33	
4750000	394.999313	1	-1.269044545912	1.219712388348	-0.059898882142	0.043394910958	0.000375462305	0.943725139025	N\A	0.063840372994	0.009261860049	0.029839005159	47	30	
4800000	378.277246	1	-1.725332405197	1.389651929226	-0.054625789753	-0.092925037048	0.000392969829	0.941747440623	N\A	0.071059221990	0.009346019463	0.034724771488	50	18	
4850000	401.931336	1	-1.241848430964	1.184548860211	-0.033772502203	-0.028500747124	0.000280565005	0.946872408776	N\A	0.068373043433	0.009647909469	0.032170408289	47	30	
4900000	400.768664	1	-1.664128112537	1.328643392138	-0.062702154885	-0.029075368007	0.000187989348	0.940804760694	N\A	0.062499014263	0.008128990480	0.029948492925	61	25	
4950000	404.360629	1	-1.369495789001	1.273131577194	-0.047479335104	-0.038347200959	0.000261890675	0.941949903351	N\A	0.065407361444	0.008898520972	0.031188631521	47	34	
5000000	376.714892	1	-1.360234662125	1.179809731774	-0.045508495066	0.017402045243	0.000642119334	0.932677906551	N\A	0.074824300063	0.009610330599	0.032218290009	37	27	
5050000	391.180501	1	-1.284230109262	1.084343602354	-0.033402433471	0.043936750189	0.000346807678	0.939612029753	N\A	0.068193645448	0.009152949455	0.031674098524	57	23	
5100000	388.504708	1	-1.458232655437	1.226263096547	-0.048536701375	-0.005199626456	0.000337213215	0.938373234759	N\A	0.069058213368	0.009331178794	0.032187651644	45	23	
5150000	399.577657	1	-1.372587032802	1.258284210134	-0.047120001960	-0.028209054726	0.000237294734	0.940896321652	N\A	0.070492579177	0.009515397653	0.032787797225	47	29	
5200000	402.892414	1	-1.408965458569	1.200320728634	-0.047977989016	0.005122814199	0.000356044429	0.941792860480	N\A	0.062760636977	0.008592836176	0.031122826278	46	29	
5250000	405.122018	1	-1.294165533248	1.284506134451	-0.058588006028	0.004401135963	0.000135935274	0.943955459824	N\A	0.060804865142	0.008267155862	0.021658811745	55	19	
5300000	395.312209	1	-1.543506734889	1.284674162086	-0.076653493864	0.079920624577	0.000261098997	0.945317807518	N\A	0.061349333464	0.008662869484	0.028321408158	43	30	
5350000	393.499335	1	-1.547935741852	1.254980015882	-0.044727994028	-0.042335204299	0.000367777797	0.944833353659	N\A	0.066610411059	0.008482372453	0.029100537963	51	21	
5400000	392.327491	1	-1.465909366974	1.139223440998	-0.055585237646	0.093706278827	0.000366718834	0.941198559834	N\A	0.069092794862	0.009242540656	0.032354447926	48	24	
5450000	375.688085	1	-1.368779029281	1.281262916321	-0.039627719251	-0.079432677892	0.000336817762	0.936230454291	N\A	0.067176449293	0.009291428341	0.034195074796	50	27	
5500000	402.997812	1	-1.418129470685	1.197338609350	-0.052058514774	0.042166810998	0.000283767576	0.945924638724	N\A	0.068773859836	0.009609755996	0.031621264734	51	22	
5550000	416.039428	1	-1.440227087946	1.153170388352	-0.040007962070	0.031496254029	0.000261806367	0.953062451485	N\A	0.064201094239	0.008859804320	0.026663776307	45	29	
5600000	397.855091	1	-1.614054972926	1.310957538759	-0.070132887227	0.030404927699	0.000298108816	0.946496262718	N\A	0.067584038838	0.009121903639	0.031441972543	49	28	
5650000	385.690537	1	-1.667282491759	1.371701578130	-0.064286310461	-0.012584333638	0.000391679102	0.937297430855	N\A	0.070065406588	0.009508192443	0.033048366352	48	23	
5700000	407.099469	1	-1.292785897952	1.237170580190	-0.055848628589	0.018984721777	0.000357034364	0.956251275708	N\A	0.058975868128	0.008978456093	0.025929030346	52	35	
