Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-fab-001.txt
Log File Name:                   CEREB_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            555591975
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2500000	401.189810	1	0.397563148080	0.901852112794	0.584070568901	0.418356289535	1.746261247471	0.546604360556	0.689017492392	-0.268660462541	-0.204072429720	-0.233196875464	-0.219169627148	-0.300184152682	0.000255637829	0.949973354119	N\A	0.081723228530	0.235400888436	0.223642717060	0.239929884761	0.243340508868	0.292214160229	0.083766829596	0.082927301071	0.085925043688	0.090839535939	0.083815589356	41	11	
2550000	381.798445	1	-0.523406365302	0.847888811548	1.615296048331	1.399830155985	1.793689667696	2.275392775736	1.640162405162	-0.154258845050	-0.122309252031	-0.158740175499	-0.289365750599	-0.282350231472	0.000419328868	0.939179863257	N\A	0.061342299733	0.240690843452	0.225626649204	0.245934272636	0.243956830167	0.333258295387	0.065019314093	0.063274313588	0.066728027747	0.071271518494	0.065657826232	33	7	
2600000	391.678807	1	-0.977240242397	1.204650804919	2.126183755096	1.963710956666	2.350649653639	2.792417242523	1.871687955605	-0.533448916725	-0.482521060620	-0.555924770753	-0.673705712718	-0.564760816423	0.000311705542	0.952722641732	N\A	0.054529150069	0.205696526165	0.195344775366	0.222490664351	0.216404391562	0.290774337211	0.056208219227	0.056636658594	0.061924043088	0.065999401110	0.059609388810	35	12	
2650000	398.331264	1	-0.343396414186	0.965461190970	1.681808225340	1.468976725103	1.677454133782	2.841945665875	1.170936642017	-0.281418623770	-0.220697284593	-0.317256564016	-0.306109232052	-0.350581040874	0.000445798686	0.958000955521	N\A	0.064644206779	0.233785765368	0.223350787443	0.252752385473	0.229306211334	0.343697236456	0.066516570060	0.065909713342	0.070282087208	0.071611111710	0.068257116567	35	16	
2700000	406.232891	1	-0.655861097545	0.860705355905	1.679047800501	1.616282680748	2.025850185598	2.764210886531	1.705697236856	-0.180383102465	-0.156730663937	-0.168805374734	-0.171502268365	-0.289375516753	0.000197714772	0.967123122796	N\A	0.043050656426	0.179618361120	0.165741123336	0.180677328023	0.175729085329	0.239593037275	0.044122717210	0.045697184297	0.049774368785	0.055251700637	0.049233006612	45	15	
2750000	407.064734	1	0.278910777354	0.997939634162	0.711217042486	0.702449188628	1.086133953015	1.835208707918	0.781232843101	-0.322341844470	-0.319467796103	-0.363624145333	-0.298332230110	-0.392557268622	0.000321463283	0.951837856694	N\A	0.073861239556	0.335592800429	0.327204718173	0.339805308706	0.345923635530	0.389521992222	0.075105687855	0.075487453142	0.078735454958	0.088395481870	0.076258702183	38	13	
2800000	394.042258	1	0.124457983087	0.943726536822	0.904348179827	0.813509171320	1.246318860170	2.638586595745	0.942915845838	-0.254441979108	-0.205809260941	-0.299359955279	-0.448223369892	-0.323089754910	0.000223469478	0.948155087575	N\A	0.079198977835	0.220026239485	0.206140818854	0.215848955189	0.212919129511	0.270224386288	0.080647731743	0.080837608754	0.082826330841	0.085629704716	0.082896850658	41	9	
2850000	388.762283	1	0.311577296910	0.851057633207	0.991096036347	0.794280870536	0.907457558410	1.732000427802	0.596837633260	-0.188548073611	-0.087278382363	-0.140541864811	-0.264783105226	-0.216424635079	0.000362696740	0.946348102957	N\A	0.114623530607	0.284367067538	0.280851333199	0.289534135008	0.297989047145	0.363818858690	0.115822478568	0.115623890470	0.118901277332	0.119887054299	0.116747663098	37	7	
2900000	386.525307	1	0.573867917431	0.794133523602	0.333169939896	0.328403621533	0.404194972144	1.201021750885	0.373109561437	-0.122726972437	-0.071034280818	-0.095268579170	-0.179642358555	-0.126309507918	0.000471411205	0.943740343083	N\A	0.066475279026	0.251424674462	0.235964605647	0.271300971527	0.245601783788	0.354056839909	0.068529137100	0.068106387078	0.074850654361	0.076495385452	0.071082663666	35	13	
2950000	382.488940	1	0.209283698792	0.991128436306	1.089469529689	0.998197607819	1.374840700417	1.223848171171	0.437720202887	-0.305369208604	-0.270028386450	-0.345498334288	-0.385603661504	-0.337080229094	0.000288639690	0.956444609868	N\A	0.103698303719	0.315066250194	0.311733073226	0.332429849478	0.331967594191	0.379489300055	0.105382259106	0.104397656642	0.107221806670	0.111789752611	0.105490885831	44	9	
