Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m3-glob-003.txt
Log File Name:                   SCH_d1_m3-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2088048483
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m3-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
3500000	354.405189	1	0.463536205069	0.697007172570	-0.021201573684	0.000278694609	0.926085196452	N\A	0.023127818754	0.004845120197	45	6	-0.001870527648	Global Trend	
3550000	355.896409	1	0.425352044661	0.712400496637	-0.029066904769	0.000235291620	0.920783295489	N\A	0.023490655834	0.004709703565	33	8	-0.000649477084	Global Trend	
3600000	355.996465	1	0.415732541149	0.760466888958	-0.038840275448	0.000319067661	0.923401708753	N\A	0.022732436992	0.004950391129	24	8	-0.002340274050	Global Trend	
3650000	368.303010	1	0.267201631108	0.752157739102	-0.032518730297	0.000112930241	0.989747988266	N\A	0.012949886728	0.003650733863	52	8	0.000051594797	Global Trend	
3700000	379.806020	1	0.288879043375	0.764090565764	-0.035072917355	0.000139658882	0.973118955005	N\A	0.018441515050	0.004924394066	39	11	-0.000236408254	Global Trend	
3750000	356.188327	1	0.422575228144	0.781381190804	-0.036800562363	0.000254035361	0.923188526671	N\A	0.022235242842	0.004863541751	30	12	-0.003579515542	Global Trend	
3800000	370.361322	1	0.203599931666	0.732438887915	-0.028877972790	0.000155221959	0.925687012980	N\A	0.022774102940	0.004786146895	44	12	0.001725322035	Global Trend	
3850000	365.046136	1	0.247509830499	0.786851752560	-0.041793037111	0.000201594121	0.918187863238	N\A	0.024752638309	0.005452554192	37	13	-0.000922359358	Global Trend	
3900000	376.627189	1	0.323522307902	0.752308235849	-0.035695078473	0.000231406436	0.934837584312	N\A	0.021329209245	0.004716229573	38	14	-0.000476776017	Global Trend	
3950000	367.212870	1	0.301535023226	0.791849068052	-0.044997011460	0.000263155940	0.947711178142	N\A	0.020943663833	0.004866667839	28	9	-0.000553338623	Global Trend	
4000000	380.585004	1	0.296216249178	0.781060831066	-0.039003670417	0.000129171191	0.929954681738	N\A	0.021925092117	0.004789824142	31	10	-0.000374788965	Global Trend	
4050000	395.784543	1	0.329511745859	0.793453556032	-0.040061144185	0.000202049114	0.937553641954	N\A	0.021036012236	0.004142927297	31	13	-0.001874515247	Global Trend	
4100000	369.239464	1	0.238992836016	0.735722308642	-0.028057553117	0.000285316528	0.926014528737	N\A	0.023818239196	0.005184515541	35	11	0.001231397968	Global Trend	
4150000	375.264724	1	0.335356094318	0.788773011122	-0.045319659060	0.000189815806	0.925839597534	N\A	0.023968280210	0.004992131267	31	12	-0.001095994263	Global Trend	
4200000	376.793033	1	0.376187616083	0.759817329484	-0.037524735199	0.000236475755	0.931262724109	N\A	0.021954299004	0.004616670047	37	11	-0.001721957914	Global Trend	
4250000	378.644154	1	0.287976379178	0.756149318731	-0.037042817731	0.000308781413	0.928304079657	N\A	0.022208206397	0.004894386758	33	13	-0.000956861172	Global Trend	
4300000	385.895172	1	0.226104430308	0.797968710586	-0.045009475304	0.000254590048	0.935328291856	N\A	0.021861204959	0.004701333224	32	13	0.000781193732	Global Trend	
4350000	369.771261	1	0.221860067588	0.784998307577	-0.043326206036	0.000382911504	0.931089238422	N\A	0.021621532488	0.004643182397	41	10	0.000985428328	Global Trend	
4400000	346.318703	1	0.304673737893	0.760792864503	-0.038836617278	0.000503350033	0.913137163940	N\A	0.024505205195	0.005646215326	33	10	-0.000438332515	Global Trend	
4450000	378.422434	1	0.258629409520	0.794561682462	-0.045357023907	0.000207118989	0.925143009889	N\A	0.022639295912	0.004736672138	37	13	-0.000732981900	Global Trend	
4500000	357.899579	1	0.274710101486	0.784641547452	-0.038072387132	0.000327791690	0.925660374493	N\A	0.023243055679	0.005124318957	29	9	-0.000702150403	Global Trend	
4550000	359.560886	1	0.084343900433	0.825766730712	-0.049469415344	0.000257089708	0.917892905291	N\A	0.024861471501	0.005104066785	31	9	-0.000429271916	Global Trend	
4600000	351.298254	1	0.384644972332	0.767897391524	-0.042510676540	0.000440825732	0.917069936546	N\A	0.025339627860	0.005837177885	36	9	-0.002041225331	Global Trend	
4650000	359.050741	1	0.136666260235	0.772822745084	-0.035508649263	0.000637819925	0.923752293145	N\A	0.022543447643	0.005014854211	38	6	0.003082159875	Global Trend	
4700000	355.579127	1	0.382158438565	0.747068333408	-0.031596357970	0.000794850257	0.923624691886	N\A	0.022096896099	0.005153902785	34	11	-0.004432032858	Global Trend	
4750000	371.646682	1	0.348317732698	0.754628734329	-0.034468184292	0.000198090437	0.924592073576	N\A	0.023544876310	0.004904129963	28	11	-0.000925644710	Global Trend	
4800000	359.389382	1	0.315634683300	0.775629020640	-0.037793276211	0.000234700622	0.918484624461	N\A	0.023832166167	0.004917051468	31	7	-0.000691859033	Global Trend	
