Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-VR-005.txt
Log File Name:                   NEO_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3070615370
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2500000	321.232533	1	0.431846479635	0.804101619669	1.048000287334	0.432039011826	1.225822077928	0.557890241215	0.895147166303	-0.106543876380	-0.034825996643	-0.091564322255	-0.200660691822	-0.139481637459	0.000835057360	0.934749296108	N\A	0.194617567250	0.626859007921	0.619391559587	0.626098437467	0.624327710769	0.719086189432	0.195970455885	0.195270945418	0.197412806827	0.198484200624	0.196427952125	57	27	
2550000	331.683192	1	0.389156333362	0.734482827948	0.403643241537	0.149985128217	0.758378366075	0.533652670971	0.995731048701	0.021070500627	0.017222046465	-0.025579089314	-0.224606355157	-0.054099609279	0.000352318589	0.933394635562	N\A	0.080734527502	0.337990645595	0.321581284484	0.354495700185	0.350318923635	0.378956813561	0.084007942643	0.082359638179	0.088778391082	0.093939187980	0.085222161809	51	23	
2600000	315.518551	1	0.311271627124	0.731416628650	0.609094754702	0.288687968836	1.030506662605	0.645392500095	1.266646866507	-0.026308858585	0.035150156007	0.017760611302	-0.081986970609	-0.087942428948	0.000704380339	0.931688727474	N\A	0.089933907821	0.313517934939	0.301144356953	0.338288082718	0.321068781607	0.448506621055	0.094106846907	0.091118178143	0.099992173223	0.099185246383	0.094898380641	44	37	
2650000	325.602540	1	0.662137512403	0.786346449682	0.818903226235	0.434468891673	1.425067545790	0.417591944143	0.428482913157	-0.040209853152	-0.055067692921	-0.136456267120	-0.162983932644	-0.145536629342	0.000319343770	0.933136540555	N\A	0.086070259877	0.266040921656	0.245853542335	0.268491457718	0.252897553813	0.320193386560	0.090015525413	0.087414946027	0.094621707668	0.093837289029	0.089383671951	41	31	
2700000	312.551345	1	0.461802751706	0.932241282184	1.093715256659	0.514663858565	1.521543114864	0.827100664489	0.397927754575	-0.274721167364	-0.152267820956	-0.240999525590	-0.396624928326	-0.206692763410	0.001490368678	0.927037296405	N\A	0.118465383911	0.398856534785	0.386965127255	0.406469000126	0.391636665613	0.622997652875	0.120497334354	0.119876206457	0.124201792191	0.123602836186	0.121643280542	38	35	
2750000	331.926959	1	0.885291666362	0.696365832852	0.304636873839	-0.219237936008	0.722412210072	-0.022779988459	0.710137805448	0.009898571325	0.052727717198	-0.014047566455	-0.089462593183	-0.068588742639	0.001637481668	0.936527156296	N\A	0.103002659717	0.382634634267	0.377882505011	0.389427545562	0.393054162910	0.638112576894	0.104751984874	0.104479696315	0.107109250882	0.111944964830	0.106197630360	47	22	
2800000	321.202946	1	0.436765036834	0.932115948527	1.081194387644	0.675241275572	1.536125706957	0.836851424094	0.631336934601	-0.226567223740	-0.164685352920	-0.326622360622	-0.256482400798	-0.301869098391	0.000543255717	0.927417187626	N\A	0.084909140546	0.285075238117	0.275701602424	0.317533798807	0.303133663616	0.377488139684	0.089067569867	0.086534449063	0.095072682026	0.095533829133	0.087891109606	50	28	
2850000	315.538817	1	0.838581351020	0.915416020860	0.606148546821	0.132125671995	0.597626911425	-0.010166796206	0.388306032407	-0.261352848913	-0.143250416845	-0.193730258032	-0.337209969787	-0.311028319816	0.000530476443	0.927820420715	N\A	0.103412728773	0.365340049748	0.358902287784	0.390273918209	0.396485287392	0.460842049216	0.105297096943	0.105024786516	0.110314016102	0.113097467939	0.106517059674	44	36	
2900000	307.356683	1	0.648861841752	0.832839486088	0.545423332859	0.248109027812	1.233994605438	0.212140172600	0.577135802971	-0.107408947050	-0.101576787805	-0.080411782751	-0.115895648029	-0.207899518854	0.000523253364	0.924210174266	N\A	0.094567220439	0.305619145322	0.294036649145	0.352092878262	0.309385400454	0.418414851251	0.097340942046	0.096077909403	0.104391801274	0.105424020106	0.099707460337	51	28	
2950000	320.324855	1	0.542938238040	0.929299598610	0.858122540114	0.522789740389	1.407349991722	0.857893341971	0.597292358221	-0.195799194728	-0.199277422362	-0.227335954017	-0.383965664379	-0.286428330552	0.000741759559	0.946607921323	N\A	0.148732289578	0.448652338287	0.446454719279	0.484056263693	0.470059168778	0.512325660356	0.149437591822	0.149912355805	0.152670370665	0.159981712040	0.150494429566	49	32	
