Species_TTOL	SEP	rest_of_brain	BOD	BOD2
Phalanger_gymnotis	2.186108	4.06032757480693	1.86328760196422	3.47184068763358
Thylacinus_cynocephalus	2.554489	4.70915133299125	1.86328760196422	3.47184068763358
Thylogale_billardierii	2.319314	4.34805949126278	1.86328760196422	3.47184068763358
Thylogale_stigmatica	2.231215	4.25065668458073	1.86328760196422	3.47184068763358
Trichosurus_vulpecula	2.114611	4.00237325530746	1.86328760196422	3.47184068763358
Vombatus_ursinus	2.571243	4.68410274637518	1.86328760196422	3.47184068763358
Wallabia_bicolor	2.491362	4.55349934894676	1.86328760196422	3.47184068763358
Balionycteris_maculata	0.926	2.68604357258994	1.86328760196422	3.47184068763358
Casinycteris_argynnis	1.086	2.89835140151989	1.86328760196422	3.47184068763358
Chironax_melanocephalus	0.979	2.75718362381577	1.86328760196422	3.47184068763358
Cynopterus_brachyotis	1.164	2.966833649282	1.86328760196422	3.47184068763358
Cynopterus_horsfieldii	1.267	3.11468350641045	1.86328760196422	3.47184068763358
Cynopterus_sphinx	1.238	3.05354966776212	1.86328760196422	3.47184068763358
Dobsonia_inermis	1.593	3.40766797562694	1.86328760196422	3.47184068763358
Dobsonia_moluccensis	1.786	3.63531672034154	1.86328760196422	3.47184068763358
Dobsonia_praedatrix	1.621	3.45265177566025	1.86328760196422	3.47184068763358
Eidolon_helvum	1.79	3.60406636908379	1.86328760196422	3.47184068763358
Eonycteris_spelaea	1.299	3.09326062869164	1.86328760196422	3.47184068763358
Epomophorus_labiatus	1.33	3.17341455082117	1.86328760196422	3.47184068763358
Epomops_franqueti	1.461	3.3178958890353	1.86328760196422	3.47184068763358
Hypsignathus_monstrosus	1.659	3.51177917774895	1.86328760196422	3.47184068763358
Macroglossus_minimus	0.911	2.72492739657078	1.86328760196422	3.47184068763358
Megaerops_ecaudatus	1.061	2.87855040696948	1.86328760196422	3.47184068763358
Megaloglossus_woermanni	1.009	2.80962194180342	1.86328760196422	3.47184068763358
Melonycteris_melanops	1.248	3.08827988670424	1.86328760196422	3.47184068763358
Melonycteris_woodfordi	1.155	2.98478330621441	1.86328760196422	3.47184068763358
Epomophorus_pusillus	1.053	2.8916991691473	1.86328760196422	3.47184068763358
Myonycteris_torquata	1.243	3.04038415947288	1.86328760196422	3.47184068763358
Notopteris_macdonaldi	1.373	3.14143861060649	1.86328760196422	3.47184068763358
Nyctimene_albiventer	1.072	2.89166094946112	1.86328760196422	3.47184068763358
Nyctimene_robinsoni	1.236	3.06521908417013	1.86328760196422	3.47184068763358
Nyctimene_vizcaccia	1.146	2.97019608506253	1.86328760196422	3.47184068763358
