Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-bm-003.txt
Log File Name:                   SEP_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1081257119
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2550000	305.682447	1	-0.173006854503	0.607618107158	0.258249116214	-0.089607488054	0.222288413417	0.238885278783	0.598710497407	-0.026563917979	0.012597181645	-0.075623935034	-0.009594790496	-0.073241066473	0.000424121553	0.876095286998	N\A	0.063052947041	0.269089718481	0.243398313117	0.255129665957	0.247268102028	0.335268654302	0.070158344750	0.067707423356	0.070384956499	0.073144544143	0.066854168061	
2600000	304.676146	1	0.023497592927	0.549250069973	-0.045226023109	-0.475553865720	0.202277219975	-0.205334357762	0.342846691372	0.057056772428	0.061230914285	-0.010523571864	0.081859005421	0.012714705655	0.000426610186	0.875368246768	N\A	0.063237665513	0.269878037567	0.244111367249	0.255877087991	0.247992493005	0.336250849684	0.070363879032	0.067905777475	0.070591154657	0.073358826727	0.067050022503	
2650000	303.905707	1	-0.107835278929	0.691805320836	0.261415031258	0.024424994847	0.509060888911	0.057010688079	0.340619375139	-0.113700195977	-0.117155966790	-0.140972683537	-0.113998254313	-0.164291663730	0.000428525385	0.874808732256	N\A	0.063379454298	0.270483146541	0.244658703299	0.256450804636	0.248548531148	0.337004776933	0.070521645907	0.068058032900	0.070749431120	0.073523308745	0.067200359191	
2700000	300.506090	1	-0.337642548440	0.596663258834	0.884698123724	0.324286071082	0.912989905866	0.415551824468	0.620393439697	-0.002035715894	-0.015881075349	-0.110256520286	0.022660697423	-0.075497991232	0.000437079540	0.872309684247	N\A	0.064008913778	0.273169477352	0.247088556032	0.258997771820	0.251017016101	0.340351774066	0.071222038788	0.068733958159	0.071452086273	0.074253512945	0.067867766376	
2750000	304.518372	1	0.152814071601	0.544232188358	-0.140424955468	-0.401783828384	-0.107383272954	0.152352149887	0.135725286874	0.075151466284	0.089995689784	0.027547362070	0.021335753140	-0.027305938176	0.000427001691	0.875253870933	N\A	0.063266675785	0.270001844087	0.244223353312	0.255994471577	0.248106259533	0.336405104724	0.070396158454	0.067936929243	0.070623538342	0.073392480080	0.067080781693	
2800000	304.162241	1	0.005706632806	0.612299042689	0.063751009250	-0.335918900442	0.522088041632	-0.094280234054	0.300850401556	0.024623336249	-0.002989621498	-0.121576213796	-0.056228492600	-0.070087933021	0.000427886726	0.874995312850	N\A	0.063332207450	0.270281512175	0.244476320022	0.256259630820	0.248363248161	0.336753553354	0.070469074841	0.068007298359	0.070696690249	0.073468500060	0.067150264011	
2850000	304.594222	1	-0.149879722284	0.600334140814	0.709489885009	0.020914241414	0.492691403887	0.179308609981	0.362064376849	0.007973973940	0.024218078168	-0.068451075849	0.028928350458	-0.052026229739	0.000426813431	0.875308870000	N\A	0.063252727490	0.269942317244	0.244169509808	0.255938032915	0.248051559972	0.336330938068	0.070380638334	0.067921951305	0.070607968092	0.073376299366	0.067065992508	
2900000	307.570707	1	0.160812009955	0.581591831495	-0.043880832149	-0.366063073737	0.075018287345	-0.091186828855	0.029302229811	0.050973885427	0.020163693552	-0.003294814661	0.016433965716	-0.046983354266	0.000419490903	0.877448105252	N\A	0.062707789524	0.267616697101	0.242065928806	0.253733063163	0.245914534143	0.333433363460	0.069774291645	0.067336786816	0.069999662901	0.072744144313	0.066488202317	
2950000	303.151673	1	-0.105335787078	0.609987672725	0.600609060106	0.347966591793	0.240323709636	0.273652272604	0.249117239788	0.021650276681	0.028964701854	-0.009917460119	0.005309768871	-0.094195838733	0.000430408129	0.874258699209	N\A	0.063518531840	0.271076684803	0.245195573353	0.257013550844	0.249093936898	0.337744287814	0.070676396012	0.068207376943	0.070904681068	0.073684645588	0.067347821186	
3000000	298.742736	1	-0.192290354573	0.697777601145	0.827431673177	0.355507571660	0.289631436555	0.621456620600	0.206995393268	-0.098565502911	-0.079655311444	-0.085532231947	-0.052105561601	-0.177423997875	0.000441583555	0.870993861849	N\A	0.064337867834	0.274573347568	0.248358391403	0.260328810929	0.252307040580	0.342100906960	0.071588062474	0.069087195122	0.071819292217	0.074635115957	0.068216551814	
