Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-fab-005.txt
Log File Name:                   SCH_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            68364231
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3600000	486.461397	1	-2.165267145266	1.542993674314	-0.085776371460	-0.128326661093	0.021289633225	0.000173712691	0.964770709200	N\A	0.108353430765	0.015019267075	0.047032680280	0.007761507532	44	6	
3650000	484.156747	1	-1.892190867649	1.359024682446	-0.067863541745	-0.040232691766	0.012361297272	0.000079966518	0.965428790158	N\A	0.109667894298	0.015962787827	0.045235396714	0.007773556998	51	3	
3700000	467.923904	1	-2.331575682546	1.686997408750	-0.116963432484	-0.155377361806	0.041190615614	0.000116754670	0.962340390572	N\A	0.100827989574	0.013558873225	0.045509619197	0.007419385160	34	1	
3750000	483.030315	1	-2.374282110262	1.707250995324	-0.114765266735	-0.162643786638	0.031517550232	0.000107616373	0.961902899321	N\A	0.098895335642	0.011309915470	0.048903559096	0.006989802687	37	3	
3800000	479.185101	1	-1.885371068727	1.318683325155	-0.052856905380	-0.051547430386	0.009964384905	0.000070071057	0.965147277920	N\A	0.109074332155	0.015953336433	0.045814567203	0.008491778997	31	4	
3850000	476.030689	1	-2.242657207579	1.553153001346	-0.077331056157	-0.153506375323	0.021902443503	0.000103114385	0.963910539353	N\A	0.098535339413	0.013498394335	0.045748892097	0.007708005796	42	4	
3900000	476.015321	1	-2.101843276813	1.500379992775	-0.093813506273	-0.054959107239	0.024510752236	0.000192161530	0.962943616120	N\A	0.094504357292	0.012209290827	0.044403394359	0.007327654535	30	7	
3950000	479.219987	1	-2.082151496802	1.491251368297	-0.079316920022	-0.121959373847	0.021412968490	0.000092282748	0.967082803938	N\A	0.109072353242	0.016305702699	0.044600889914	0.008470373712	38	4	
4000000	483.085004	1	-2.070732580168	1.489446816859	-0.081185619490	-0.101365724736	0.018841838249	0.000096258076	0.965379051393	N\A	0.110407227162	0.015898118658	0.046659418051	0.007839325418	42	2	
4050000	480.466530	1	-2.125971056621	1.506966908308	-0.082193331911	-0.125717145812	0.027131573729	0.000145986168	0.964009345107	N\A	0.111283605521	0.016671847676	0.043250071038	0.008099766064	33	3	
4100000	486.594181	1	-2.051755669140	1.451907536348	-0.070060123889	-0.108285172400	0.017092174178	0.000094605287	0.963851751963	N\A	0.126982238181	0.018838140187	0.049760254468	0.009234826320	39	4	
4150000	477.870267	1	-1.877654064870	1.338355779866	-0.059857831235	-0.063854875931	0.011292239847	0.000162140801	0.960786334601	N\A	0.093933965603	0.012853047863	0.044131426308	0.007832287691	43	2	
4200000	489.624985	1	-2.106964842939	1.504275844973	-0.084270672650	-0.129634866864	0.029721933768	0.000118721280	0.993776194300	N\A	0.110875435520	0.015600882379	0.047292172758	0.007946581770	49	1	
4250000	476.884825	1	-2.196638106836	1.565295829604	-0.078783165451	-0.209276279928	0.032330599018	0.000084667540	0.967095509793	N\A	0.121826441331	0.017945408190	0.047546246583	0.008526891364	38	3	
4300000	465.472241	1	-2.247994900493	1.527987349574	-0.084667419617	-0.114942972590	0.021692090097	0.000100752287	0.962322074519	N\A	0.104641204889	0.015289461192	0.046447343262	0.008527459410	36	3	
4350000	474.803095	1	-1.927411145433	1.372178348491	-0.072947772492	-0.020321078285	0.011799540688	0.000112010943	0.963066223549	N\A	0.111009151973	0.015345344287	0.048762846975	0.008316295583	31	3	
4400000	484.475654	1	-2.182060394410	1.526301448958	-0.073887604369	-0.158740144630	0.020505391070	0.000094408495	0.964773149415	N\A	0.118872213458	0.016833468034	0.049670365283	0.008570291922	26	3	
4450000	467.764362	1	-2.461838716233	1.786042636862	-0.120575040793	-0.234730850222	0.045594498014	0.000203681470	0.972388264291	N\A	0.123451266366	0.018967613743	0.046396485745	0.009127621591	43	2	
4500000	482.788987	1	-1.901621617011	1.334439652422	-0.046946934233	-0.116559633026	0.015167716349	0.000118313244	0.968208204897	N\A	0.104655707030	0.016449327876	0.040193601548	0.007920118195	34	5	
