Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-fab-006.txt
Log File Name:                   STR_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2731099695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2500000	379.582515	1	0.342003335004	0.681690102327	0.179706881417	0.094638187317	0.591637430400	0.457611137727	0.149259021823	0.064115078758	-0.045052982269	0.012648487693	-0.121198121872	-0.126658618313	0.000255169115	0.932924162072	N\A	0.050916931379	0.204851650300	0.185563388276	0.216551331685	0.187892601585	0.261787887379	0.057179579648	0.052999095118	0.062895242547	0.060098885524	0.054134361392	43	14	
2550000	348.887163	1	0.164381348426	0.699790110688	0.303470323983	0.078708931182	1.202089399062	0.538045575162	0.423807197434	0.036555983507	-0.064157829805	-0.187241517969	-0.139541016244	-0.094199386821	0.001308124739	0.916735216030	N\A	0.081494418810	0.341843039987	0.333099177427	0.400714827792	0.337735610095	0.552009065113	0.085285934424	0.083049486486	0.091407012207	0.087592172268	0.086475518822	41	8	
2600000	355.426534	1	0.628321577142	0.505625739850	-0.245908894056	-0.231589671303	0.215518124962	0.041345987490	0.025226876054	0.278893449846	0.150165407825	0.119538333229	0.098633719622	0.052797108533	0.000107067178	0.932682095111	N\A	0.058479183085	0.170176014064	0.159258870755	0.199898869509	0.184998620584	0.207043926893	0.062050672303	0.060238790436	0.072280264105	0.072765574426	0.063777223693	43	12	
2650000	346.653438	1	0.627854020415	0.665872886925	0.521521194665	0.550662173629	1.251864853164	0.697734092181	0.055810445837	0.136534289774	0.006146028863	-0.002306702402	-0.110109359868	-0.126107755037	0.000174132085	0.920479701794	N\A	0.036423330682	0.168627204664	0.146555110469	0.259752279666	0.174006764470	0.215130248087	0.045384979844	0.040312148758	0.059218487375	0.050052184409	0.042781531284	38	13	
2700000	369.579955	1	0.375213887814	0.715918941930	1.266327555445	0.959854253413	1.116005655192	1.192259641039	0.337656298836	0.000722796262	-0.083100077321	-0.094004986687	-0.234917449655	-0.166341221199	0.000433410326	0.924788730411	N\A	0.042651982218	0.182989962089	0.164518288960	0.239718072816	0.177533973566	0.282199740136	0.048862556268	0.045538857644	0.059060190682	0.055313112511	0.049003992186	38	14	
2750000	347.012496	1	0.353690559560	0.663747819789	0.898465543237	0.960415383724	1.082760287567	1.105325643721	0.441570405317	0.067837248191	-0.037771704094	-0.018849644582	-0.077623568066	-0.144964343943	0.000134140628	0.929428625311	N\A	0.035460135098	0.154374652939	0.137349154511	0.175092660453	0.144202622851	0.202563133864	0.042699519093	0.038716623901	0.051166922908	0.044802647800	0.044712585260	32	12	
2800000	359.981778	1	0.917172701238	0.552317238757	0.590469954473	0.411622352992	1.216243958164	0.489619362427	-0.993160854977	0.164210662214	0.114663796145	0.026620126588	0.042629982442	0.075766956369	0.000168087818	0.923571208261	N\A	0.064561574719	0.243689572595	0.227897311948	0.250605138995	0.235131390505	0.308319067866	0.068433044386	0.066722836734	0.070984560541	0.073253642693	0.069974681580	40	12	
2850000	344.018725	1	0.313709990141	0.704802588796	0.074636312530	0.020432570066	1.554971929590	0.475857430652	0.307609952912	0.040397131440	-0.086639856142	-0.080358715152	-0.156620923468	-0.089277054699	0.000166573782	0.936386236388	N\A	0.106558902459	0.351806228029	0.344542474955	0.357013942640	0.352216335753	0.407613020433	0.108242163042	0.107835813619	0.110988729173	0.112316468402	0.109732012529	44	8	
2900000	325.156502	1	0.352805103879	0.575749438006	0.636626677029	0.383665386739	1.660119890725	0.436764106345	0.147692854384	0.129508847846	0.049925370945	0.016918235491	-0.041870549486	0.011724960120	0.000206088188	0.922216978391	N\A	0.075363481048	0.225905466928	0.211934756518	0.245892175581	0.219264327790	0.314987136468	0.078108192622	0.077647731984	0.085822355982	0.082916338948	0.079493465342	39	6	
2950000	356.461792	1	0.619034593516	0.563590860640	0.014083591262	-0.021008941004	1.132945555646	0.179173068286	-0.079752913783	0.163497713666	0.081312289024	0.025455279408	0.020899753725	0.086738679755	0.000199674683	0.934579090330	N\A	0.056388317424	0.198621327489	0.183092285219	0.203924166668	0.189256431228	0.248033034829	0.059721664890	0.058915009642	0.065626499208	0.064366395599	0.061472616744	37	14	
3000000	358.414553	1	0.419028811892	0.643300297462	0.042717891957	0.047351660741	0.557195701653	0.097104981616	0.154638268233	0.107072121908	-0.019973430338	-0.003595174861	-0.042677054403	-0.016306990494	0.000221865333	0.932437896312	N\A	0.044882023912	0.193091818938	0.174468070317	0.207821698120	0.188634342074	0.249116967885	0.049355621845	0.047303067120	0.058045762854	0.058460400200	0.052120317414	40	10	
3050000	357.928431	1	0.759254590942	0.536519385382	-0.205061162053	-0.304453030279	0.441083165477	-0.052908233549	-0.184978676575	0.218510353692	0.122962314177	0.017622183661	0.035665476372	0.031929352527	0.000035419325	0.922935820965	N\A	0.069906432301	0.202493965259	0.188613620167	0.217239562638	0.203769660651	0.346066635607	0.073844106532	0.071528036333	0.078314479384	0.077316806676	0.076156497479	42	13	
3100000	345.523367	1	0.458176828638	0.646578199974	0.015749596633	-0.060275727541	0.611913759700	0.237490301952	0.350337194973	0.156751726223	0.001423660274	-0.041139195262	-0.138913896258	-0.075281120157	0.000027367036	0.930261172018	N\A	0.039196785379	0.170677498282	0.154392014719	0.183202729623	0.155838293795	0.321105580011	0.045985902920	0.042763448679	0.051997065443	0.043891134964	0.046621185390	41	6	
3150000	342.610568	1	0.172814344099	0.666354899406	0.448334001987	0.228671919048	0.773963388401	0.581804864837	0.961548225579	0.067015545166	-0.017297353316	-0.017253327873	-0.164083092938	-0.072349972595	0.000247790156	0.910290523155	N\A	0.049479759543	0.210179337513	0.186513672098	0.209503348727	0.193004853205	0.377489259577	0.058677321759	0.052449937683	0.060002984830	0.058851508389	0.056248477805	34	10	
3200000	334.465497	1	0.729125868239	0.595763550971	0.138814538978	-0.124015438535	0.146745879911	0.200486545751	-0.317635443627	0.103758097918	0.022393270746	0.098588361576	-0.084433099602	-0.008358053158	0.000535524853	0.909296675713	N\A	0.070851660663	0.268945474461	0.251977092212	0.294118475887	0.255804419097	0.376846551304	0.075103842366	0.073195435249	0.082318997910	0.077452990158	0.075229577303	23	4	
3250000	349.555613	1	0.306879495032	0.753602355980	0.126729429947	0.045595213521	0.762460842987	0.320739242502	0.066232724729	-0.011024796225	-0.120053994773	-0.096487023498	-0.169296486390	-0.194513298015	0.000198291780	0.926675638118	N\A	0.061256238289	0.195007267720	0.181504401180	0.208379504442	0.189149207708	0.357328321164	0.064782203413	0.063471861331	0.069844598435	0.069068611096	0.066789135167	43	10	
