Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-fab-004.txt
Log File Name:                   STR_d1_m9-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            443766882
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3850000	556.944489	1	-1.528367208361	1.099752720731	0.002439109496	-0.058373807717	-0.005086196029	0.000106053985	0.987637965610	N\A	0.080378889308	0.012080851615	0.032485286338	0.006871851603	39	8	
3900000	549.834972	1	-1.549333940414	1.093474787717	-0.000918777013	-0.051149981781	-0.001937432277	0.000085042667	0.983717819449	N\A	0.077714048324	0.011208352958	0.034243875244	0.006664213269	42	6	
3950000	535.561090	1	-1.488221070119	1.038444866357	0.015825160668	-0.048738811100	-0.006812325533	0.000073737164	0.982504281999	N\A	0.095542308053	0.013726137550	0.041081413913	0.008174622752	40	7	
4000000	526.847923	1	-1.653891584701	1.148176373727	0.001199187336	-0.120475069616	0.007509393188	0.000045650231	0.978567314848	N\A	0.088495231641	0.013555847825	0.034481648653	0.007336232048	37	7	
4050000	528.040732	1	-1.135346107842	0.807904842724	0.040952892853	0.035590581017	-0.019309071165	0.000107744238	0.979892690635	N\A	0.094803705946	0.013547119831	0.041884981504	0.008207627215	36	6	
4100000	543.638567	1	-1.518102223117	1.091902892576	-0.002936923014	-0.051610975744	0.000335656601	0.000051291533	0.980532974047	N\A	0.089214110809	0.012245334406	0.038684235256	0.006780697704	26	7	
4150000	540.831320	1	-1.770367973831	1.337372774764	-0.033874773810	-0.186500961842	0.027512063902	0.000011081034	0.980232732800	N\A	0.097430335082	0.013583247404	0.042609057404	0.008043090928	44	8	
4200000	534.485070	1	-1.430257855126	1.050799510557	0.006894486252	-0.067676807203	-0.000444867858	0.000015166967	0.988401760617	N\A	0.081208638453	0.012983354893	0.033236245937	0.007665620508	31	7	
4250000	536.455016	1	-1.759225370137	1.250482440960	-0.025093128371	-0.124591525248	0.018592708037	0.000041901859	0.984619248992	N\A	0.076092300443	0.011457308880	0.030881116996	0.006597547440	40	6	
4300000	543.271228	1	-1.722635559587	1.268389427676	-0.024340027150	-0.150165165581	0.020222722440	0.000060790309	0.982819377075	N\A	0.084065154083	0.011639549810	0.038621972628	0.007257804174	38	8	
4350000	548.371344	1	-1.638722376181	1.226015602037	-0.017750086981	-0.142588136026	0.013311287618	0.000048637183	0.982756171581	N\A	0.080870181993	0.011366078268	0.036074759523	0.006771976818	40	6	
4400000	555.685305	1	-1.503499418326	1.134315908953	-0.010117331536	-0.068428170784	0.005599933329	0.000024720038	0.983329526803	N\A	0.087698298052	0.012536082095	0.038011230816	0.007390612719	40	7	
4450000	566.885832	1	-1.572641398606	1.069206636013	0.006692110654	-0.066901280003	-0.002009713467	0.000011417186	0.985114168200	N\A	0.086120295726	0.012510104130	0.036375711346	0.007222516013	41	9	
4500000	546.775504	1	-1.423263233504	1.033560295577	0.010432123133	-0.059304692555	-0.001314571903	0.000072195036	0.985004418274	N\A	0.087952868847	0.011341130345	0.039361170562	0.006699665205	43	9	
4550000	544.428392	1	-1.540241120259	1.129407333411	-0.003394015693	-0.088001010006	0.003980410791	0.000106583597	0.980939827305	N\A	0.088648333801	0.012804192267	0.037719439827	0.007100551526	33	6	
4600000	540.510473	1	-1.811355598181	1.313533897769	-0.031408036307	-0.126101215609	0.014441512254	0.000105062370	0.982458036718	N\A	0.076259632617	0.009302114688	0.036131051200	0.005685115730	26	9	
4650000	532.821747	1	-1.893825717714	1.410464219228	-0.043100000801	-0.190011371025	0.024782904926	0.000170599915	0.974432391725	N\A	0.101179124086	0.014979872142	0.040871417702	0.008316099029	39	6	
4700000	533.727826	1	-1.508866526592	1.069077369339	0.009804304669	-0.072232741820	-0.002433557775	0.000069094507	0.981470752020	N\A	0.084236606510	0.011550085551	0.038321752223	0.007362020944	41	5	
4750000	543.756326	1	-1.500100343111	1.085999728434	0.008264227471	-0.085447162248	-0.002793246257	0.000166280993	0.983683300611	N\A	0.083925280029	0.011514593974	0.037270046300	0.006860973084	31	7	
4800000	542.742239	1	-1.736039889172	1.265343827295	-0.021855253755	-0.133033094403	0.010687295197	0.000105720449	0.980992087256	N\A	0.082823587015	0.012610220260	0.036737523956	0.007821781519	39	9	
4850000	556.060507	1	-1.742285480499	1.269649058850	-0.017829498535	-0.161830722889	0.012771394708	0.000120717491	0.983747007111	N\A	0.084539993637	0.012217703663	0.034757076666	0.006843328821	42	8	
4900000	547.544269	1	-1.625033893671	1.211472068484	-0.023402393273	-0.098302667115	0.014050124849	0.000201166895	0.980223296967	N\A	0.088533655469	0.011616658415	0.040032625860	0.006978632526	29	9	
4950000	544.554189	1	-1.678132649967	1.266807461518	-0.023599125105	-0.146299463190	0.015217488642	0.000170284350	0.980251128368	N\A	0.084798239057	0.012146219565	0.036939405881	0.007105255221	31	9	
5000000	543.491933	1	-1.769799315479	1.309710048020	-0.029852147143	-0.166051555574	0.021193566612	0.000088178428	0.978344635972	N\A	0.086120740480	0.012063308884	0.038422715647	0.007232620149	36	7	
5050000	546.744276	1	-1.307601222994	0.952796326585	0.021528567037	-0.019809043365	-0.009805143198	0.000139619002	0.979981897582	N\A	0.073314308446	0.009741228022	0.034816976466	0.006011603053	33	7	
5100000	548.598039	1	-1.563140105175	1.119579878575	0.011434476439	-0.147361588926	0.005134356761	0.000068060291	0.980072574571	N\A	0.077249992798	0.010987043487	0.035100965931	0.006407056411	32	7	
5150000	539.631459	1	-1.372814633072	0.966738415585	0.026236880173	-0.045198253828	-0.009262890143	0.000057733862	0.980898730873	N\A	0.099482477126	0.015114945419	0.040183441704	0.008176176880	33	7	
5200000	541.524250	1	-1.567924986997	1.175723260376	-0.013527568510	-0.115739700206	0.013655150512	0.000081255979	0.984334668203	N\A	0.081561961634	0.011631026915	0.035991063535	0.007165179031	37	5	
5250000	525.177455	1	-1.737812445758	1.219029348163	-0.010127135764	-0.117337926167	0.002681539698	0.000024412443	0.970874739725	N\A	0.095713104949	0.013979282699	0.043536642262	0.008280877971	29	5	
5300000	552.059406	1	-1.527598886601	1.089429655464	0.001677431866	-0.081780935443	0.003931253372	0.000013709764	0.985902805965	N\A	0.082976045424	0.011833563361	0.035216683984	0.007053164770	44	9	
5350000	534.339872	1	-1.903506169095	1.327793807456	-0.023131085023	-0.178168535286	0.015491457161	0.000025375040	0.985953773445	N\A	0.082001185091	0.011419299356	0.036945638213	0.007279719414	55	8	
5400000	526.640376	1	-1.735012603019	1.236432025692	-0.024040510449	-0.107651015446	0.012796151558	0.000031941276	0.977582265970	N\A	0.072013467183	0.010321238822	0.033299434246	0.006495473216	43	7	
5450000	543.572242	1	-1.529335752775	1.171676169445	-0.019663775260	-0.092006607047	0.013559310797	0.000056491631	0.986370813857	N\A	0.075956626433	0.011372057207	0.032889700281	0.006889416751	38	7	
5500000	536.900751	1	-1.463996775127	1.066029733734	0.008283428852	-0.053010623293	-0.004960335179	0.000215720399	0.982300925291	N\A	0.091807746667	0.014680781737	0.036783349991	0.008122766408	41	10	
5550000	532.964592	1	-1.496708452095	1.061860372335	0.006724896308	-0.074120777820	-0.000203771571	0.000161047540	0.981701858217	N\A	0.083342102597	0.012065698912	0.037430036852	0.007573783961	39	5	
5600000	527.810790	1	-2.047407664714	1.515993683016	-0.067492672567	-0.191673847418	0.032567110200	0.000089103974	0.976625627191	N\A	0.080246306489	0.009784193570	0.038521670268	0.006363136221	46	5	
5650000	533.377131	1	-1.693612374342	1.248975254582	-0.016031726540	-0.161698802896	0.018876053459	0.000112244954	0.980480341553	N\A	0.085171359572	0.012170049503	0.037349967891	0.007302939328	37	8	
5700000	543.006021	1	-1.314083433830	0.975871796217	0.007081171428	0.010552599375	-0.004308957254	0.000098869731	0.978416255696	N\A	0.096973733810	0.013894886463	0.041794880462	0.008170385431	33	7	
5750000	537.604136	1	-1.549017632086	1.099543458593	0.013897060301	-0.130198544931	0.001922911962	0.000092010875	0.982472645124	N\A	0.092219108772	0.014893348946	0.036305505461	0.008325816423	33	7	
5800000	538.549795	1	-1.584770157400	1.183109794934	-0.011486235112	-0.132439646915	0.011053835748	0.000244335907	0.978076455288	N\A	0.078140764765	0.011445595186	0.035114771783	0.006814463648	36	8	
