Species_TTOL	SEP	rest_of_brain
Microcebus_murinus	1.185	3.22499777943092
Miopithecus_talapoin	2.124	4.57720824492106
Nasalis_larvatus	2.522	4.97211427746941
Nycticebus_coucang	1.964	4.07016900764897
Otolemur_crassicaudatus	1.845	3.98509131950917
Pan_troglodytes	2.93	5.58232825551133
Papio_cynocephalus	2.747	5.28121407692444
Perodicticus_potto	2.057	4.12079897970986
Pithecia_monachus	2.146	4.51688705271499
Piliocolobus_badius	2.459	4.86832778778568
Propithecus_verreauxi	2.201	4.40135338583513
Pygathrix_nemaeus	2.462	4.86047259819674
Saguinus_midas	1.612	3.98108200720884
Saguinus_oedipus	1.782	3.97903342592802
Saimiri_sciureus_sciureus	1.957	4.35321967494396
Tarsius_tarsier	1.367	3.53020840861181
Varecia_variegata	2.314	4.47260429620756
