Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-glob-002.txt
Log File Name:                   DIE_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3413952238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2500000	456.856446	1	0.652004902593	0.809573929103	0.221178343653	-0.076312489335	0.579781735633	0.076800661795	0.337213154859	-0.137781502902	-0.107453937070	-0.228428710726	-0.232337652383	-0.212777260597	0.000188719405	0.961106308975	N\A	0.055454157652	0.083464145893	0.074321144724	0.117438560323	0.096154243305	0.158180474055	0.057574492414	0.056676708296	0.060613982097	0.060954754341	0.058280021299	30	11	0.005333465817	Global Trend	
2550000	454.053150	1	0.751754822274	0.680045867606	-0.037103979355	-0.224906525874	0.751777827970	0.065951001039	0.013645132959	0.004922667466	0.020934231272	-0.077933050334	-0.095577063318	-0.101862298841	0.000130007543	0.999981598702	N\A	0.029235113166	0.077455774011	0.063847323513	0.121534770714	0.089525046390	0.127464162674	0.033020104397	0.031725988332	0.042917299941	0.039877261300	0.033644548991	44	11	0.900481338457	Global Trend	
2600000	436.383266	1	0.571509240163	0.746397860597	0.342064481046	0.086999710308	0.521442148471	0.268581384612	0.291925138121	-0.077118727681	-0.052228139565	-0.121378995628	-0.191375941377	-0.176477209536	0.000091636099	0.956266298862	N\A	0.033253959567	0.107752665124	0.095011512221	0.124552749753	0.108840439109	0.142619527777	0.037192395475	0.035874851144	0.042896712565	0.040573275625	0.037465966831	39	9	-0.000207938232	Global Trend	
2650000	440.837225	1	-0.349587112158	0.613934839571	0.075469102397	-0.155490057238	0.348377506115	-0.250360073206	1.294346743811	0.094855459358	0.081086513049	-0.032286010696	-0.032530072977	-0.069895193677	0.000151355780	0.951633405934	N\A	0.040313468996	0.151441500920	0.137289473157	0.154078391010	0.144377031706	0.194557768632	0.044692149338	0.042189335160	0.047802119607	0.049058692186	0.047066160931	36	8	-0.000248808525	Global Trend	
2700000	451.705772	1	0.463083958302	0.726669380548	0.401229751116	0.110141940750	0.983713481187	0.112308789548	-0.854420691639	-0.049817516831	-0.037218866865	-0.189875106354	-0.095482457993	-0.121127766169	0.000193021965	0.957469229539	N\A	0.056911051648	0.089915790825	0.079320969663	0.114241390727	0.093037814442	0.163086796500	0.059585924623	0.058037400424	0.060233740593	0.060654374530	0.060751884256	39	7	0.003250713013	Global Trend	
2750000	449.231207	1	0.673899825403	0.686918960011	0.372594263840	0.132876837186	0.532760885789	0.203682778747	-0.711021550551	0.010671421425	0.001544387603	-0.046002113911	-0.118499282734	-0.080100787137	0.000112747564	0.990358774676	N\A	0.063473003646	0.088493528446	0.076137480329	0.105177965511	0.089500408373	0.132336339376	0.065306463274	0.064542530532	0.067336674315	0.066602286078	0.065869030248	47	6	-0.022227778939	Global Trend	
2800000	445.899600	1	0.596202408674	0.700286449335	0.398219580895	0.062172259274	0.772409456511	0.184901592933	-0.743633258903	-0.014937273872	-0.026279851852	-0.101497483891	-0.121305844511	-0.110425578394	0.000114320278	0.999991856943	N\A	0.045361489697	0.080799342670	0.069199184852	0.101755863005	0.085720338837	0.127319000817	0.047305414820	0.047755762225	0.050028440200	0.050654054353	0.048419593211	38	10	-0.965641800697	Global Trend	
2850000	447.711492	1	0.488396684246	0.706619036308	0.297970118004	0.070225375701	0.925627707421	0.292659616924	-0.725154802544	-0.006469550189	-0.020258140858	-0.219012545526	-0.151110009834	-0.171898174087	0.000060630240	0.999976547435	N\A	0.033877158641	0.075317162773	0.059018641342	0.101232425121	0.066935225979	0.101727396791	0.038611043075	0.036062426576	0.046862119740	0.037645792561	0.037790770849	39	10	0.312264249891	Global Trend	
2900000	441.249896	1	0.587869532669	0.716394439547	0.149651962846	0.070130712655	0.563955017951	0.278287626491	-0.372126505944	-0.020335620837	-0.016670685044	-0.065534934120	-0.146908668329	-0.156469034473	0.000097273330	0.989925594146	N\A	0.028514027377	0.082639695814	0.068492708387	0.128501170691	0.082536822494	0.155610374912	0.033968197398	0.031347000709	0.040619600659	0.034533007347	0.035521710248	40	6	0.022274278255	Global Trend	
2950000	462.320568	1	0.667721925236	0.673180851027	0.177401214478	-0.090083809118	0.460430634498	0.207889554101	-0.171000038454	0.033611557961	0.019123305307	-0.113405978268	-0.159979688844	-0.030024966046	0.000390798707	0.995098052041	N\A	0.022754541806	0.082496200638	0.070279687655	0.145535969710	0.098765826535	0.170431933333	0.027477708821	0.025571643139	0.039642411559	0.037063856709	0.027795765721	50	11	-0.122871347607	Global Trend	
