Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m6-glob-002.txt
Log File Name:                   NEO_d1_m6-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4245843219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m6-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5850000	658.989925	1	-1.129912224029	1.144896274727	-0.039732737413	0.000028047555	0.991441191993	N\A	0.017450230349	0.012144947814	39	5	0.000028338137	Global Trend	
5900000	658.180537	1	-1.005313333858	1.104004604598	-0.015742012649	0.000066890766	0.994059341998	N\A	0.012697534536	0.008928891357	35	3	0.000276438195	Global Trend	
5950000	646.798579	1	-1.234838481213	1.202992608483	-0.068047942985	0.000058965501	0.991856156179	N\A	0.020651819554	0.014218003360	38	4	0.000553802536	Global Trend	
6000000	648.418661	1	-1.093956159137	1.123175525592	-0.028954048999	0.000130050748	0.993992685606	N\A	0.015231734095	0.010667671132	43	4	-0.001904149902	Global Trend	
6050000	651.845444	1	-1.096647849921	1.168761145550	-0.057298263597	0.000070016696	0.992780674179	N\A	0.016690795222	0.011595383668	42	2	0.003096620087	Global Trend	
6100000	642.402308	1	-0.942342320640	1.093584882805	-0.025221619616	0.000053992140	0.994773213920	N\A	0.009829246248	0.007325898590	42	3	0.002134951706	Global Trend	
6150000	651.458213	1	-1.187247128704	1.175162728965	-0.073984035371	0.000065240547	0.991229598355	N\A	0.016396021534	0.011278347974	41	7	-0.003906823646	Global Trend	
6200000	661.839672	1	-1.053975168033	1.097002537126	-0.017933595453	0.000085639688	0.994529840150	N\A	0.010531345687	0.007555502250	48	5	0.000554789979	Global Trend	
6250000	657.811330	1	-1.079521443109	1.118306774108	-0.025241573061	0.000048672130	0.992875090506	N\A	0.016678870590	0.011234817783	45	5	0.000573530945	Global Trend	
6300000	643.275622	1	-1.091662674778	1.128345408626	-0.036322649708	0.000081272139	0.991267662888	N\A	0.017113028382	0.012041277107	43	4	0.002394473221	Global Trend	
6350000	660.421410	1	-1.063822426784	1.101995839020	-0.003810667938	0.000095302023	0.992385380831	N\A	0.014612248107	0.010035893700	42	5	-0.001369095647	Global Trend	
6400000	655.337144	1	-1.212292535956	1.102565728507	0.001552591884	0.000038722549	0.990253393811	N\A	0.017787527541	0.012419535233	29	5	-0.004748224709	Global Trend	
6450000	640.580103	1	-1.082538952873	1.105565430075	-0.022634068804	0.000045151537	0.991984577198	N\A	0.016723858862	0.011809882220	39	4	-0.002216852800	Global Trend	
6500000	652.391701	1	-1.059044077095	1.159237982102	-0.043003823757	0.000065660100	0.991636900339	N\A	0.018328108449	0.012446128342	41	3	0.004365575784	Global Trend	
6550000	658.767296	1	-0.977165992666	1.140373261318	-0.032967459810	0.000068147593	0.993238879144	N\A	0.016649453709	0.011484073578	44	3	0.005336455816	Global Trend	
6600000	653.891243	1	-1.033350942085	1.153736276259	-0.044972604618	0.000014143806	0.991721313140	N\A	0.017567300699	0.011836738006	38	4	0.000304497715	Global Trend	
6650000	645.535287	1	-0.939803111714	1.134351498007	-0.025152740220	0.000007721160	0.990970406155	N\A	0.018068243846	0.012401905083	44	1	0.000666759453	Global Trend	
6700000	640.264290	1	-1.077945117171	1.126148572486	-0.026219753414	0.000055232939	0.990225589497	N\A	0.015922197893	0.011092682571	37	2	-0.000681123473	Global Trend	
6750000	663.245190	1	-1.088365740126	1.156367741485	-0.039440328165	0.000054462405	0.991305073932	N\A	0.017287335329	0.011748605066	34	3	0.003144966920	Global Trend	
6800000	641.008264	1	-0.994420558106	1.103889816544	-0.019413970979	0.000289217647	0.991404537351	N\A	0.015751376982	0.010940130841	33	2	0.005784196758	Global Trend	
6850000	644.847546	1	-1.067066125715	1.161142948740	-0.034009003158	0.000103623188	0.991400606353	N\A	0.016408859473	0.011412857371	32	4	0.004796811384	Global Trend	
6900000	661.827968	1	-0.997638311166	1.199267116313	-0.075497717610	0.000174472120	0.991695834314	N\A	0.017829828331	0.011442300149	48	2	0.012781192601	Global Trend	
6950000	641.261160	1	-0.916301626910	1.137860845929	-0.039074546069	0.000126114339	0.992490332421	N\A	0.016683502397	0.011695259350	38	4	0.009414638460	Global Trend	
7000000	643.441046	1	-1.025842072935	1.148680353039	-0.034352923180	0.000054065932	0.991331136981	N\A	0.017968888442	0.011757227255	47	1	0.001029877162	Global Trend	
7050000	655.931691	1	-0.951543585589	1.130918181587	-0.026338688511	0.000083572770	0.991685360110	N\A	0.015612833497	0.010878505550	37	1	0.003711292236	Global Trend	
7100000	655.320902	1	-0.928517086166	1.153205579647	-0.032149021311	0.000069053139	0.991191040250	N\A	0.018426696477	0.012580098756	40	1	0.007573192101	Global Trend	
7150000	646.018765	1	-0.907427698998	1.130994507558	-0.026191067068	0.000103184600	0.992067966042	N\A	0.015980984138	0.011113285440	38	1	0.006017091556	Global Trend	
7200000	640.635051	1	-1.058097479282	1.163472731032	-0.052351497796	0.000086370407	0.990371234154	N\A	0.019058194440	0.012895321743	35	2	0.000503793600	Global Trend	
