Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-glob-001.txt
Log File Name:                   HIP_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            276987476
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3600000	445.268186	1	-1.455000066320	1.385832341685	-0.066176924007	-0.137006735616	0.021411038071	0.000124903214	0.950798183646	N\A	0.111754825185	0.015539683357	0.047431630392	0.008724968339	39	3	0.000439722866	Global Trend	
3650000	471.384818	1	-1.244455313360	1.228700256364	-0.052051589884	-0.063430714272	0.014100745292	0.000153283574	0.963101522066	N\A	0.101912927225	0.016271488185	0.035202929343	0.008123025362	52	4	-0.000624751334	Global Trend	
3700000	449.268614	1	-1.346332726849	1.232442305928	-0.043550339848	-0.026331026539	-0.006288966338	0.000081219062	0.955036832434	N\A	0.093087104999	0.014174714917	0.043974326522	0.009087162012	39	4	-0.000863709667	Global Trend	
3750000	461.236660	1	-1.078429557186	1.163279444716	-0.042852153630	-0.057727502019	0.014310727691	0.000112774888	0.960095711248	N\A	0.061269292033	0.008435326228	0.037578346028	0.007087392437	48	4	0.004623138662	Global Trend	
3800000	457.251434	1	-0.940983705352	1.079986638983	-0.033941212086	-0.025924576208	0.005100857003	0.000178522102	0.971178507240	N\A	0.037241951621	0.006476059708	0.026162000239	0.005826293589	41	5	0.011277170932	Global Trend	
3850000	463.774700	1	-1.223595438427	1.153024344070	-0.039533114962	0.015803352139	-0.006959713360	0.000108519258	0.962709687096	N\A	0.092056742784	0.014432836884	0.036760699738	0.007933107863	42	7	-0.001220706213	Global Trend	
3900000	471.593250	1	-1.114724126440	1.063060094839	-0.014842203548	-0.047428945364	-0.001331516848	0.000136359027	0.999975613439	N\A	0.027523674260	0.004155681040	0.030226489423	0.005599906931	47	7	0.838298094662	Global Trend	
3950000	456.769632	1	-1.002546632553	1.045705897947	-0.022408681076	-0.028688439919	0.004425968474	0.000123110484	0.997997063539	N\A	0.029450236194	0.004449310595	0.031182917164	0.005574922998	41	3	0.050331464114	Global Trend	
4000000	461.154518	1	-1.159943617569	1.233277414270	-0.047568235686	-0.095284742175	0.014491689661	0.000096513588	0.960707011315	N\A	0.093387051507	0.013061614760	0.044517193594	0.008281200301	32	7	0.001369262755	Global Trend	
4050000	455.921374	1	-0.743635487540	1.054363406661	-0.036858387026	-0.035249206207	0.013906357553	0.000180048598	0.999513256670	N\A	0.034552198168	0.004660302727	0.037646232678	0.006085623802	36	4	-0.281648191283	Global Trend	
4100000	457.883452	1	-1.015775126360	1.027860223718	-0.024517150056	0.011379640305	-0.000225069096	0.000201353256	0.987784329280	N\A	0.030404293910	0.004655565853	0.031501961828	0.005846006120	44	5	-0.028181434757	Global Trend	
4150000	492.326862	1	-0.900409449512	1.004883499694	-0.023661477995	0.018451886401	0.000262561804	0.000055077498	0.999992036187	N\A	0.028173418623	0.004291573889	0.030581827637	0.005340631462	65	8	-0.467022828576	Global Trend	
4200000	463.560774	1	-0.950691540510	0.983598329163	-0.016286834391	0.036870034693	-0.004093653566	0.000117592341	0.999912251915	N\A	0.032258739573	0.004593182491	0.035115592914	0.006251916911	36	5	0.373136416605	Global Trend	
4250000	475.772668	1	-1.253435330236	1.292878991809	-0.068143011741	-0.041870531716	0.013316552235	0.000080001056	0.967314941690	N\A	0.098608553131	0.014496520047	0.040511732073	0.008112772806	33	8	0.000441987976	Global Trend	
4300000	469.659976	1	-1.246159924198	1.258060361607	-0.059675501446	-0.097673472000	0.021777399996	0.000086029179	0.962596892708	N\A	0.069797337906	0.011305507445	0.037977840855	0.007592686899	41	5	-0.002065915375	Global Trend	
