Species_TTOL	CEREB	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	4.03	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	2.862	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	3.953	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	2.369	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	3.528	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	4.083	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	3.117	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	3.15	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	4.64	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	4.271	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	3.23	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	3.592	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	3.937	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	3.597	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	3.906	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	3.026	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	2.993	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	3.354	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	2.631	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	3.632	3.477	0	0	1	0	0	0	0	3.477	0	0
