Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-bm-006.txt
Log File Name:                   STR_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1997096084
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2900000	260.474134	1	-0.131699677478	0.757207412430	0.778063802309	0.330573173023	0.965872164280	0.816131766923	0.857831149052	-0.114981734223	-0.049783283051	-0.105290367519	-0.191565746427	-0.146073230685	0.000551619847	0.868375078783	N\A	0.071908488525	0.306882324166	0.277582660716	0.290961636492	0.281995946447	0.382355834451	0.080011811741	0.077216667958	0.080270250229	0.083417411238	0.076243576271	
2950000	261.331978	1	0.103626155254	0.717399639341	0.459795036168	0.279929784405	0.614923998559	0.187701575494	0.801479718978	-0.036764736754	-0.050056988457	-0.077788358320	-0.133230956686	-0.140665256777	0.000548875510	0.869029919504	N\A	0.071729391287	0.306117994701	0.276891305790	0.290236959524	0.281293599671	0.381403528608	0.079812532146	0.077024350024	0.080070326960	0.083209649565	0.076053681946	
3000000	258.731723	1	0.021710788850	0.860947632475	0.764897376791	0.300618696198	0.772179155220	0.563881021333	0.589743074938	-0.199423940042	-0.186801856858	-0.237267078281	-0.247581747810	-0.242429492955	0.000557236318	0.867034902908	N\A	0.072273639581	0.308440671545	0.278992224506	0.292439138674	0.283427920887	0.384297436054	0.080418111444	0.077608773930	0.080677862282	0.083841004564	0.076630740887	
3050000	259.912640	1	0.580422479580	0.716981862892	0.616291255720	0.062911083065	0.439472259541	0.109064134882	-0.252093506855	-0.042115978784	-0.025444317635	-0.090095362505	-0.106628758872	-0.112659330498	0.000553423552	0.867944687164	N\A	0.072025956982	0.307383641796	0.278036114925	0.291436946363	0.282456610123	0.382980444295	0.080142517645	0.077342807764	0.080401378314	0.083553680471	0.076368126451	
3100000	262.555967	1	0.133204444405	0.712450628827	0.309552290830	0.085091259986	0.855621385101	0.350205717317	0.617184308869	-0.052549996790	-0.008699883612	-0.111039096826	-0.133408191446	-0.110346933885	0.000544983460	0.869958621978	N\A	0.071474624035	0.305030729927	0.275907847881	0.289206100745	0.280294505768	0.380048865933	0.079529055329	0.076750776225	0.079785934512	0.082914106923	0.075783555750	
3150000	262.004981	1	0.330175242203	0.757994531194	0.322673393137	0.140710305319	0.860130878258	0.490985645967	0.018998616212	-0.088444415314	-0.091255679686	-0.144368491878	-0.153264621126	-0.147078714641	0.000546732064	0.869541378459	N\A	0.071589196953	0.305519690328	0.276350124671	0.289669694467	0.280743814316	0.380658079458	0.079656539398	0.076873806749	0.079913830356	0.083047017188	0.075905035831	
3200000	260.915019	1	0.549867939420	0.618732584390	0.150608693420	-0.029928049892	0.406182343378	-0.083968762438	0.080671511706	0.093635937856	0.069821017513	0.011278637487	0.033315165404	-0.061326161912	0.000550207699	0.868712038945	N\A	0.071816386577	0.306489262647	0.277227126840	0.290588966534	0.281634759939	0.381866104827	0.079909330881	0.077117767179	0.080167438356	0.083310568414	0.076145921849	
3250000	261.089797	1	0.273280688074	0.576900054597	0.359692184419	0.100578098562	0.606326170363	0.086546472397	0.561707266460	0.117211567766	0.085254444573	0.058475446208	0.032401136561	0.001428413336	0.000549648887	0.868845379996	N\A	0.071779907585	0.306333582027	0.277086309865	0.290441362438	0.281491704115	0.381672136688	0.079868741093	0.077078595360	0.080126717463	0.083268250974	0.076107243677	
3300000	259.283791	1	-0.117833346640	0.798431837305	0.770653771014	0.504632170720	1.063233555753	0.591280918833	0.992269606814	-0.102031857401	-0.129779751160	-0.223873344183	-0.180085737743	-0.243449909447	0.000555450627	0.867460996117	N\A	0.072157744438	0.307946068313	0.278544843636	0.291970194866	0.282973427110	0.383681191922	0.080289156148	0.077484323577	0.080548490461	0.083706560453	0.076507858869	
3350000	261.137439	1	0.093417755209	0.812714577009	0.387279074774	0.078805439779	0.792863244052	0.403261480000	0.622547899956	-0.155114807873	-0.112610158294	-0.143743197555	-0.221884449776	-0.234497477946	0.000549496662	0.868881703131	N\A	0.071769967211	0.306291159707	0.277047937825	0.290401140937	0.281452721999	0.381619281178	0.079857680545	0.077067921203	0.080115621189	0.083256719648	0.076096704037	
