Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m3-glob-004.txt
Log File Name:                   MED_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            233539781
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
3600000	494.261151	1	23.959175612908	0.682915673294	-0.021071849093	0.000144437295	0.972521473491	N\A	0.010495116206	0.002486832214	4	13	-0.426675674220	Global Trend	
3650000	498.792623	1	19.303291027585	0.688140381594	-0.025824275218	0.000142102055	0.976184173277	N\A	0.009381390173	0.002162103818	5	14	-0.340640028940	Global Trend	
3700000	505.336660	1	22.971776421668	0.715811483686	-0.028357616410	0.000135940038	0.978031743770	N\A	0.009090868946	0.002226641322	4	16	-0.442692849427	Global Trend	
3750000	496.520619	1	25.771288021460	0.670933430583	-0.024823292875	0.000142495165	0.971340322140	N\A	0.010289119521	0.002417906562	7	16	-0.438961907748	Global Trend	
3800000	497.585207	1	18.382529853346	0.677439056124	-0.021184267359	0.000143958216	0.977671841140	N\A	0.008995790060	0.002039765131	7	16	-0.317436749709	Global Trend	
3850000	500.142368	1	18.833580410647	0.674221249032	-0.022987131348	0.000142010235	0.976045554236	N\A	0.008787408055	0.001966163209	6	14	-0.321104238619	Global Trend	
3900000	501.996435	1	23.109211424644	0.687611921830	-0.025528755070	0.000138491625	0.972673747839	N\A	0.010015336288	0.002347768935	8	15	-0.411111211119	Global Trend	
3950000	506.047676	1	23.123298448599	0.689494034625	-0.024922020441	0.000135353013	0.973978509923	N\A	0.009650339171	0.002260528320	7	18	-0.414515226951	Global Trend	
4000000	494.241195	1	22.057053034816	0.731115452008	-0.032957470460	0.000146180031	0.979616964697	N\A	0.008560019665	0.002120992660	6	14	-0.439495771236	Global Trend	
4050000	487.992249	1	20.589292866386	0.681693114946	-0.021223806018	0.000150891132	0.972750748060	N\A	0.010180608773	0.002363826548	6	12	-0.362562685705	Global Trend	
4100000	511.853926	1	17.702281301718	0.690094681947	-0.027933397608	0.000132433328	0.977847358207	N\A	0.008555597899	0.001926155535	9	15	-0.310955651965	Global Trend	
4150000	499.640260	1	17.410854371516	0.683968135170	-0.024207425861	0.000142562590	0.977048050018	N\A	0.008928426387	0.002001891484	7	12	-0.303337044765	Global Trend	
4200000	508.454881	1	22.011394797293	0.727030484218	-0.033551241210	0.000133735673	0.979282794867	N\A	0.008885112392	0.002177947410	6	17	-0.431252052505	Global Trend	
4250000	498.505324	1	27.582987421583	0.669972154804	-0.022721817042	0.000140627429	0.970352593769	N\A	0.010693364763	0.002499855096	5	13	-0.472699557938	Global Trend	
4300000	494.075123	1	24.206198260716	0.697696003665	-0.027200215642	0.000145147690	0.976355144705	N\A	0.009151676293	0.002248169246	7	15	-0.442995038807	Global Trend	
4350000	496.014967	1	24.321009240783	0.666463628413	-0.024330565123	0.000143416211	0.972274605044	N\A	0.010064138781	0.002367617943	4	13	-0.408405093235	Global Trend	
4400000	495.583322	1	20.457601736295	0.703858765740	-0.031058858796	0.000144156173	0.972801983913	N\A	0.009917683916	0.002300169401	6	14	-0.373853672450	Global Trend	
4450000	499.931778	1	22.253172194518	0.705360586781	-0.029840065379	0.000140368321	0.975291612882	N\A	0.009366702433	0.002231780116	5	15	-0.411557292418	Global Trend	
4500000	494.733148	1	24.025714648519	0.667802589503	-0.018542610070	0.000144489680	0.973488927804	N\A	0.009933656749	0.002361243802	5	17	-0.412337934751	Global Trend	
4550000	490.413989	1	32.116136433672	0.640470260519	-0.016175188448	0.000146739690	0.966912033125	N\A	0.011650958833	0.002695594144	5	15	-0.518341094162	Global Trend	
4600000	489.781949	1	44.513135674746	0.674508829490	-0.020276372784	0.000146888142	0.968419946537	N\A	0.010451022850	0.002474620977	6	15	-0.788367853343	Global Trend	
4650000	503.357765	1	32.082478364044	0.690101131419	-0.022710316684	0.000136470295	0.973565194487	N\A	0.009512215429	0.002284100398	6	18	-0.586460543775	Global Trend	
4700000	509.924865	1	29.887279838665	0.683457261751	-0.024344719843	0.000131813415	0.975577831214	N\A	0.008900073328	0.002140836940	6	19	-0.532040398491	Global Trend	
