Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-VR-006.txt
Log File Name:                   DIE_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            521101667
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
5200000	724.761934	1	-1.103514185593	1.022696485551	-0.016196859848	0.068687269241	-0.004552710681	0.000034240794	0.992022598685	N\A	0.054363087284	0.008022035172	0.023139816224	0.004477498783	40	29	
5250000	711.847989	1	-1.043474419238	0.958826932811	-0.000220314216	0.045108868233	-0.003423677310	0.000026308733	0.991283786902	N\A	0.054693875914	0.008380549270	0.022788624241	0.004703598759	52	22	
5300000	722.749964	1	-0.778819492948	0.773387987141	0.021260829134	0.127742951859	-0.016248219214	0.000031879624	0.992706084631	N\A	0.058660658050	0.009163261758	0.023138607293	0.004979466966	42	30	
5350000	712.472289	1	-0.934072488222	0.885634783924	0.007229132984	0.084716792707	-0.009596282921	0.000022791350	0.992612346612	N\A	0.059144692904	0.009451060227	0.022527774494	0.004994268035	52	31	
5400000	728.126200	1	-1.054574116312	0.987142046681	-0.008805920395	0.056329961111	-0.004989044253	0.000036115741	0.992246572696	N\A	0.049844367756	0.007600469564	0.020123631523	0.004129983474	34	25	
5450000	719.150151	1	-0.806058204628	0.753318362030	0.038127881663	0.097956094904	-0.023218973827	0.000023654974	0.991831595047	N\A	0.057684461233	0.009360364247	0.021860172304	0.004810431411	40	21	
5500000	719.627328	1	-0.958343272433	0.924267027347	-0.000711607402	0.072299809785	-0.006974360598	0.000025523956	0.992902844750	N\A	0.050794289265	0.008185136123	0.020140358014	0.004272452997	47	24	
5550000	712.478353	1	-0.947952084206	0.913580904314	0.000316175056	0.074982943622	-0.006525009228	0.000077769348	0.991251353213	N\A	0.048884276773	0.007240563293	0.021060884333	0.004179123331	61	25	
5600000	719.778958	1	-0.865997132975	0.832115714980	0.015951343938	0.105791752790	-0.015938020861	0.000024988934	0.992808002864	N\A	0.052946899231	0.008264595910	0.021158669777	0.004411598272	35	25	
5650000	712.486006	1	-1.097050118880	1.012322082747	-0.011017564482	0.051876060003	-0.004793276957	0.000025846597	0.991889561718	N\A	0.055212473464	0.008246986926	0.023175189142	0.004505357449	55	20	
5700000	721.473302	1	-0.872549655777	0.850260995493	0.010377730705	0.105093854450	-0.012149611081	0.000034943157	0.992180765039	N\A	0.058492617997	0.009289234657	0.022381187119	0.004965331676	57	30	
5750000	708.421952	1	-0.996187180978	0.948732997501	-0.005422365528	0.068815268327	-0.003159721134	0.000028139141	0.992737293560	N\A	0.051428458398	0.008093245016	0.021846524571	0.004821753013	46	18	
5800000	722.334117	1	-0.831313714845	0.785897064624	0.026155952611	0.114706512636	-0.019440414965	0.000023553654	0.992889255400	N\A	0.053478445113	0.008348222873	0.021282016149	0.004531214456	38	25	
5850000	726.091163	1	-0.597374143775	0.627987938082	0.049546119581	0.146984905732	-0.027625094624	0.000024972081	0.991620606635	N\A	0.058681874697	0.008929632634	0.023282399429	0.004584124501	50	17	
5900000	738.287594	1	-0.934581379449	0.881388649737	0.011734553591	0.083831488064	-0.015602893676	0.000020312131	0.993546687159	N\A	0.050514978751	0.007919969705	0.019952129084	0.004248541553	49	31	
5950000	723.129926	1	-0.886894633727	0.846456540713	0.021858866496	0.053268922612	-0.011814718100	0.000021251838	0.993538103485	N\A	0.051154216081	0.008594311134	0.018639902174	0.004427333685	50	24	
6000000	721.162411	1	-0.885268784330	0.857605730803	0.005612353230	0.118405889804	-0.012404249143	0.000024154071	0.992698810793	N\A	0.049636128557	0.007730289938	0.020676217387	0.004244604167	40	22	
6050000	719.208963	1	-0.952333051312	0.889892492248	0.010855496357	0.075242774206	-0.012811777367	0.000023392919	0.992123592244	N\A	0.054927070694	0.008728946257	0.021741322937	0.004683842934	64	23	
6100000	730.745742	1	-0.838170794347	0.813125142346	0.020762935290	0.103417149225	-0.017185313474	0.000023992205	0.992788855241	N\A	0.048001233156	0.007720579261	0.018628975797	0.003754149540	49	25	
