Species_TTOL	SEP	rest_of_brain	rest_of_brain2	BOD	BOD2
Hsunycteris_thomasi	0.67	2.50023862095974	6.25119316173868	0.839	0.703921
Lophostoma_silvicolum	0.75	2.85331808051172	8.14142406857511	1.509	2.277081
Macroderma_gigas	1.18	3.20498065502424	10.2719009990796	2.078	4.318084
Macrophyllum_macrophyllum	0.48	2.4790378028068	6.14562842774516	0.934	0.872356
Megaderma_lyra	0.9	2.93241161841455	8.59903789981263	1.587	2.518569
Megaderma_spasma	0.79	2.78365497627165	7.74873502692193	1.354	1.833316
Mesophylla_macconnelli	0.63	2.5144416036305	6.32241657806794	0.875	0.765625
Micronycteris_brachyotis	0.64	2.58328686142129	6.67337100839185	1.167	1.361889
Micronycteris_megalotis	0.39	2.41295245824855	5.8223395657677	0.813	0.660969
Micronycteris_minuta	0.47	2.43110917339505	5.91029181296557	0.839	0.703921
Micronycteris_schmidtorum	0.45	2.46261324325241	6.06446398584217	0.892	0.795664
Gardnerycteris_crenulatum	0.47	2.48743694137244	6.18734253730427	1.072	1.149184
Miniopterus_australis	0.43	2.28796870242141	5.2348007832599	0.851	0.724201
Miniopterus_inflatus	0.59	2.48807198431177	6.19050219911712	1.173	1.375929
Miniopterus_magnater	0.57	2.4849865990346	6.17515839738155	1.176	1.382976
Miniopterus_pusillus	0.42	2.31097785415854	5.34061864241123	0.934	0.872356
Miniopterus_tristis	0.57	2.49587912679333	6.22941261556266	1.193	1.423249
Molossus_molossus	0.61	2.47483774200244	6.12482184923971	1.137	1.292769
Molossus_rufus	0.79	2.69716719929339	7.27471090094414	1.526	2.328676
Monophyllus_plethodon	0.77	2.62023584937206	6.86563590633451	1.176	1.382976
Mormoops_megalophylla	0.68	2.56247160047249	6.56626070322802	1.196	1.430416
Murina_cyclotis	0.52	2.37139315447136	5.62350549307361	0.851	0.724201
Murina_huttoni	0.55	2.38592275334146	5.69262738491251	0.944	0.891136
Myotis_adversus	0.54	2.3772871201093	5.65149405143757	1.049	1.100401
Myotis_albescens	0.22	2.07780309246655	4.31726569106356	0.602	0.362404
Myotis_annectans	0.51	2.31710569964846	5.3689788233434	0.991	0.982081
Myotis_bechsteinii	0.67	2.39586985328546	5.74019235388207	0.978	0.956484
Myotis_bocagii	0.4	2.25339686523018	5.07779743222921	0.845	0.714025
Myotis_dasycneme	0.67	2.46431986810657	6.07287241234477	1.176	1.382976
Myotis_myotis	0.83	2.65907694339085	7.07069019087282	1.408	1.982464
Myotis_nigricans	0.31	2.11100026230064	4.45632210743337	0.663	0.439569
Myotis_siligorensis	0.15	1.98557890358024	3.9425235823429	0.539	0.290521
Natalus_tumidirostris	0.49	2.36796538095518	5.60726004540222	0.839	0.703921
Noctilio_albiventris	0.72	2.74963685311494	7.56050282400782	1.515	2.295225
Noctilio_leporinus	1.03	3.04342425236468	9.26243117988151	1.763	3.108169
Nyctalus_noctula	0.66	2.52928534798622	6.39728437153778	1.431	2.047761
Nycteris_arge	0.55	2.51972165509131	6.34899721913611	1.025	1.050625
Nycteris_grandis	0.8	2.82882341601125	8.00224191897357	1.474	2.172676
Nycteris_hispida	0.47	2.43216548536531	5.91542894820225	0.892	0.795664
Nycteris_javanica	0.55	2.65047090615567	7.02499602437764	1.265	1.600225
Nycteris_macrotis	0.54	2.56570573628551	6.5828459252084	1.161	1.347921
Nycteris_thebaica	0.46	2.4880134922472	6.19021113760409	0.949	0.900601
Nyctophilus_geoffroyi	0.33	2.1954325071819	4.819923893591	0.857	0.734449
Otomops_martiensseni	0.85	2.85387267955123	8.1445892710889	1.618	2.617924
Peropteryx_macrotis	0.3	2.18774408447669	4.78622417916275	0.748	0.559504
Phylloderma_stenops	1.2	3.10305487853701	9.62894957921231	1.664	2.768896
Phyllostomus_discolor	1.12	3.01289560068157	9.07753990060635	1.563	2.442969
Phyllostomus_elongatus	0.94	2.91962973558399	8.52423779290623	1.652	2.729104
Phyllostomus_hastatus	1.17	3.15775224544109	9.97139924358827	1.963	3.853369
Pipistrellus_javanicus	0.21	2.04743835568333	4.19200382032326	0.653	0.426409
Pipistrellus_tenuis	0.12	1.94445839594312	3.78091845355368	0.591	0.349281
Afronycteris_nana	0.16	1.97624949883145	3.90556208163155	0.591	0.349281
Hypsugo_pulveratus	0.32	2.12583275320563	4.51916489460183	0.724	0.524176
Perimyotis_subflavus	0.36	2.0689992385851	4.28075784926571	0.724	0.524176
Pteronotus_gymnonotus	0.54	2.50919392843789	6.29605417050955	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	0.77	2.71076396835588	7.34824129213654	1.305	1.703025
Pteronotus_personatus	0.42	2.33437416842607	5.44930275821491	0.908	0.824464
Rhinolophus_cornutus	0.37	2.26307067478927	5.12148887909114	0.82	0.6724
Rhinolophus_eloquens	0.71	2.58228368121921	6.66818901029102	1.281	1.640961
