Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-fab-003.txt
Log File Name:                   SEP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2062888248
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2750000	420.161680	1	0.333979742722	0.458071121847	0.648476181982	0.296886368860	0.156953928712	0.800892821576	-0.080574784766	0.157224417771	0.158346948883	0.046042285781	0.037745203144	0.053104406583	0.000151147531	0.935347788715	N\A	0.040028361986	0.162876528039	0.147833666326	0.171543022988	0.169533452423	0.203071117728	0.044047729184	0.042934685408	0.046734683333	0.052893684558	0.042844386388	33	10	
2800000	405.783146	1	0.041828657394	0.582527870445	0.760648925895	0.394797638781	0.435946791626	0.700628070026	0.211518533066	0.006247159856	0.045287721853	0.002184703838	-0.004559730889	-0.096039211071	0.000171730492	0.936502586574	N\A	0.040122124878	0.171279544046	0.154802936587	0.176722725924	0.158302896549	0.213831843055	0.044617434115	0.043087836689	0.050365515481	0.047298729520	0.042823663487	34	9	
2850000	410.379165	1	0.012890971918	0.529043113887	0.425229939046	0.088979474549	0.242532537395	0.087979096928	0.421585047029	0.100212370958	0.089577382801	0.010824249627	0.027616070589	-0.009522854546	0.000229494479	0.940366987641	N\A	0.046381665551	0.185678034497	0.172559921060	0.190287006044	0.182165974703	0.247309247632	0.049282537425	0.048683513812	0.051111943983	0.053847432365	0.049841529933	29	8	
2900000	407.783488	1	0.839299835755	0.478136750340	0.454828034795	0.089863311244	0.067966539082	0.423737675836	-0.659201903950	0.120797689951	0.178233203523	0.047430281528	0.026735619222	0.037199831972	0.000198406055	0.929155736125	N\A	0.043194544738	0.168621323274	0.165654144630	0.177738903617	0.169214256629	0.232285538045	0.046631973358	0.046777323133	0.049015812844	0.050087353296	0.047758863136	35	9	
2950000	419.919677	1	0.293077376903	0.519629036803	-0.252975078823	-0.597620518067	0.246926743264	-0.238242196895	-0.094773905574	0.105548826600	0.105624494202	0.011203211444	0.037244054717	0.032615536904	0.000236722116	0.933856842919	N\A	0.050172426236	0.185160242483	0.174417545385	0.193184194599	0.195106900063	0.252349488056	0.053946653534	0.052476546541	0.055413240325	0.062503510921	0.052847785520	38	11	
3000000	416.330727	1	0.299109410792	0.489110715369	-0.063990225009	-0.393775435796	0.167150637179	-0.012563830643	-0.080750837056	0.116936304078	0.111784728377	0.021883417160	0.056468962587	0.021247211823	0.000195501389	0.948284200700	N\A	0.043779565618	0.165123699491	0.153855490997	0.170043166224	0.159898325534	0.226706507369	0.045423735309	0.046895549067	0.049341446763	0.048361795012	0.048179176246	40	7	
3050000	412.644743	1	0.606218525581	0.588198251536	0.195906084443	-0.164063190213	0.500916468162	0.195484026428	-0.234846879266	0.051215108314	0.022824138907	-0.064578910344	-0.049386836778	-0.088604797557	0.000189137734	0.931286442617	N\A	0.046987445387	0.161918604384	0.149163263396	0.155955250146	0.157209085005	0.215922867537	0.052410551702	0.049991706773	0.050439887078	0.054382378552	0.049826358696	29	9	
3100000	407.012178	1	0.016258488076	0.567276295543	-0.021779513213	-0.257580847489	0.225079784572	0.243510616220	0.347605542534	0.112660432554	0.028710219670	-0.020048539526	-0.098874755212	-0.037129043012	0.000224793971	0.931357389659	N\A	0.045072255100	0.165037657829	0.159120664857	0.185773918232	0.168012765891	0.234650538570	0.048709618560	0.047557229925	0.054012741477	0.054196399958	0.048533615793	34	8	
3150000	416.503856	1	0.305720262662	0.476377841752	0.278909880789	-0.326879992565	0.286446557917	-0.214549923838	-0.249595462294	0.121988350171	0.098781314975	0.040152045513	0.114622931627	0.037801495232	0.000357844260	0.941998644416	N\A	0.042383152477	0.177543605384	0.161457385434	0.173876013400	0.167683031618	0.261948541137	0.045359999683	0.044395645409	0.048579459527	0.051319288825	0.047079190786	33	10	
3200000	418.940048	1	0.200633952714	0.449214860201	0.076608323372	-0.387936575071	0.307464670305	-0.091781151768	1.118997474187	0.149009176808	0.199237629597	0.039089938172	0.118102806121	0.038581389938	0.000301584448	0.935430867360	N\A	0.036135884599	0.149235034375	0.138208382362	0.152745349277	0.151208793308	0.238969856796	0.039804052217	0.040210800194	0.041213812862	0.046734439798	0.041665008483	35	8	
