Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-fab-004.txt
Log File Name:                   CEREB_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1629109661
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4250000	570.881991	1	-0.998319643328	1.073903193105	-0.011641719311	0.016494384056	0.000073883790	0.985144021739	N\A	0.041251807751	0.004870844969	0.016831868389	33	0	
4300000	568.897747	1	-0.962053931365	1.041151539763	-0.008071487883	0.024244591205	0.000076430730	0.980488595172	N\A	0.043044188885	0.004813355297	0.017056243116	26	2	
4350000	580.266095	1	-1.086120809701	1.094279251703	-0.015956694947	0.035685944490	0.000043760348	0.985427281401	N\A	0.039488636658	0.004757627605	0.017200175857	40	4	
4400000	586.979591	1	-1.023301214177	1.040133933958	-0.004674758369	0.032985117675	0.000021786545	0.991456701772	N\A	0.029408157682	0.004091184206	0.014767355844	32	3	
4450000	583.010590	1	-1.031072697742	1.044228826251	-0.013371100484	0.060579059541	0.000004418322	0.987064151167	N\A	0.038506468693	0.004553674427	0.016544028551	39	2	
4500000	561.392453	1	-1.053775479093	1.077034739687	-0.012596621046	0.026482619030	0.000006543572	0.979716195081	N\A	0.043001968049	0.005116094569	0.018102261689	48	0	
4550000	567.853857	1	-0.913659981241	1.015307979080	-0.012528317852	0.072391866164	0.000092326157	0.984830307128	N\A	0.041390267688	0.004574562504	0.016885972631	31	0	
4600000	560.301004	1	-1.141407487464	1.148978830582	-0.020885336356	0.016780781604	0.000105420911	0.981486323940	N\A	0.042518051625	0.004832401292	0.016934044682	41	0	
4650000	584.977150	1	-0.958832093280	1.045451453766	-0.005167145150	0.012191385867	0.000083493459	0.986956716262	N\A	0.035329371740	0.004211261289	0.014766636205	31	1	
4700000	573.955230	1	-1.048200416066	1.089692919879	-0.008952103436	-0.007219406391	0.000013191636	0.983229602435	N\A	0.040398182474	0.004574961332	0.017082925956	36	1	
4750000	589.388594	1	-1.018863441642	1.073633171552	-0.011183344379	0.023977113508	0.000024899706	0.985493540863	N\A	0.037767330366	0.004266332772	0.015705810831	30	1	
4800000	564.488000	1	-0.998181935531	1.056668242670	-0.007185827239	0.020553438878	0.000072228956	0.983883787581	N\A	0.038947536755	0.004447834479	0.016251376288	47	2	
4850000	580.217865	1	-1.034592098694	1.089327809978	-0.010964465772	0.009153242596	0.000091790085	0.985508953122	N\A	0.038640498360	0.004842408697	0.016685975988	41	0	
4900000	572.151830	1	-0.967272230786	1.054770349781	-0.009289203351	0.022062223651	0.000072860062	0.983040675259	N\A	0.040036535924	0.004367908279	0.016591270445	28	0	
4950000	561.327832	1	-1.030504752069	1.064864072132	-0.005154903563	0.016557964071	0.000056921794	0.982087067382	N\A	0.041199163806	0.005044782072	0.017968695718	28	2	
5000000	559.343769	1	-0.895531089813	1.003515276418	-0.008295316495	0.059510357460	0.000087842012	0.987453421893	N\A	0.038369960796	0.004232774901	0.015288120810	36	1	
5050000	570.227615	1	-0.901997052888	1.012566062209	-0.006425925123	0.040620566547	0.000089115114	0.984416233911	N\A	0.041566321776	0.004750276081	0.016561038797	36	2	
5100000	566.427191	1	-0.885753003540	0.996509651981	-0.009042926245	0.066927752569	0.000057391389	0.982920290786	N\A	0.044540968754	0.004974447768	0.017346157337	37	0	
5150000	577.864823	1	-0.956758946257	1.032134328392	-0.007450733478	0.038759927505	0.000069757048	0.987755057348	N\A	0.028541201109	0.004584197618	0.015168872158	31	0	
5200000	573.863390	1	-1.017934910076	1.043092692929	-0.011407421953	0.045797384864	0.000072692493	0.989014399832	N\A	0.039548899824	0.004525561391	0.016175528634	34	1	
5250000	576.461163	1	-1.029208453057	1.087735925806	-0.015077733626	0.016196920221	0.000008833483	0.983965569202	N\A	0.036771083407	0.004264471670	0.016394250726	41	0	
5300000	577.436476	1	-0.938757224498	0.989561099094	-0.000216970821	0.032148846476	0.000098090925	0.982620553516	N\A	0.041845877650	0.004955126178	0.017315600654	35	2	
