Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-glob-003.txt
Log File Name:                   MES_d1_m7-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1394259416
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3200000	565.546091	1	-0.739698414730	0.765741962462	0.140710886202	-0.018128914896	0.000117246561	0.972884928842	N\A	0.026044066970	0.022941062124	0.002953939303	29	4	0.006058811559	Global Trend	
3250000	571.663263	1	-0.481152177033	0.668127547360	0.225548941028	-0.024063909937	0.000081526748	0.975284830670	N\A	0.020990281407	0.020236111629	0.002735229036	36	6	0.000470746861	Global Trend	
3300000	577.348004	1	-0.535243443020	0.664206273600	0.223965796218	-0.023605649573	0.000088541166	0.972390617902	N\A	0.026144946163	0.023355951159	0.002699761976	36	5	0.003131424295	Global Trend	
3350000	563.330261	1	-0.420355017056	0.679507805785	0.212313783464	-0.023834528978	0.000093299370	0.976011173800	N\A	0.025279987308	0.023471681454	0.002184802327	38	5	-0.002757360337	Global Trend	
3400000	561.495694	1	-0.691286580932	0.740389250780	0.203653227028	-0.028791579099	0.000099417168	0.976625402167	N\A	0.026113948412	0.022706207849	0.002950948196	43	6	0.001325208313	Global Trend	
3450000	559.555249	1	-0.474247671477	0.689268043932	0.213443730162	-0.025992886417	0.000057694503	0.973797054041	N\A	0.023738818440	0.021670544621	0.002659248539	41	5	-0.000638372562	Global Trend	
3500000	573.593098	1	-0.691134798602	0.722583659274	0.211063940199	-0.027237690452	0.000147131171	0.975495099740	N\A	0.024305830185	0.021520916191	0.002738473346	36	6	0.004810934091	Global Trend	
3550000	562.746666	1	-0.673156829270	0.744295193357	0.157560489626	-0.019158889715	0.000072681132	0.975308023256	N\A	0.023709336272	0.021940561209	0.002585951924	35	4	0.002423189584	Global Trend	
3600000	566.671938	1	-0.508359224822	0.666158547103	0.226747072213	-0.024598022121	0.000110880126	0.970395705425	N\A	0.026976735010	0.023803985662	0.003147761878	35	6	0.002245109149	Global Trend	
3650000	568.467395	1	-0.442697409199	0.622500999152	0.247424004753	-0.022521567911	0.000067339672	0.968803008214	N\A	0.025587916556	0.023576746502	0.003077004639	31	6	0.002085964557	Global Trend	
3700000	563.571044	1	-0.700520637789	0.759380425686	0.148832076482	-0.019938999849	0.000074955610	0.969688112101	N\A	0.028331950870	0.024584750226	0.002978603335	38	5	0.002716781086	Global Trend	
3750000	575.358193	1	-0.637445860777	0.664035766297	0.242639988184	-0.026632513277	0.000253799869	0.983852767985	N\A	0.017332962469	0.017337885231	0.001888754112	40	6	0.008434812988	Global Trend	
3800000	564.837928	1	-0.614277496758	0.720960483726	0.181375443332	-0.021134621351	0.000085601671	0.970446303840	N\A	0.024074215395	0.022734084460	0.003009913084	26	6	0.003439191404	Global Trend	
3850000	566.671610	1	-0.521452884345	0.643506542552	0.228951773625	-0.022303328748	0.000086335708	0.979990506566	N\A	0.009512820213	0.013345628247	0.002088908491	28	4	0.004180725026	Global Trend	
3900000	574.538412	1	-0.493842194828	0.724012509368	0.180910503671	-0.019309950542	0.000065329278	0.976510764439	N\A	0.026881136099	0.023793898771	0.002625942146	39	8	-0.001543508182	Global Trend	
3950000	569.577880	1	-0.541863966166	0.694650094919	0.218761507822	-0.026362292136	0.000072025621	0.976278875138	N\A	0.024218202484	0.021010483891	0.002556930289	36	6	0.000502000947	Global Trend	
4000000	562.830889	1	-0.483525634465	0.683206416891	0.229542710988	-0.028585567933	0.000053637052	0.972714070053	N\A	0.024133084086	0.022506938901	0.002832946257	39	4	0.000159038882	Global Trend	
4050000	559.967780	1	-0.526223577814	0.661588842611	0.251298719863	-0.028994132805	0.000101642670	0.978083585896	N\A	0.024546894606	0.021493729447	0.002846743819	40	4	0.001977123770	Global Trend	
4100000	572.153093	1	-0.376501712345	0.636518547921	0.238179999385	-0.025525651692	0.000061449792	0.973322918153	N\A	0.024751197789	0.022274911888	0.002824774781	35	5	-0.000671053172	Global Trend	
